Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 11/02/2025
Comparison Date: 
Total Yarding: 2910 (NQ)
Commentary
"There were approximately 2500 export and 410 young cattle penned representing a decrease of 36 head week-on-week. The usual buying group was present and operating in a dearer market. Quality was good with fewer dairy lots in the bullocks while the trade offering was very mixed. Well finished trade cattle lilted 10c to 15c/kg while secondary lots were cheaper. Grown steers sold firm while bullocks gained 5c/kg. Heavy Friesian manufacturing steers improved 15c to 23c with the crossbred portion firm to 8c/kg dearer. Heavy beef cows gained 5c to 10c while light conditioned dairy lots kicked 20c to 30c/kg. Heavy bulls lifted 5c/kg. 

Vealers sold from 250c to 408c/kg. Yearling trade steers made between 335c and 370c/kg. Yearling heifers to the trade sold between 310c and 355c/kg. Grown steers made from 335c to 380c/kg. Bullocks sold from 350c to 403c/kg. 

Heavy Friesian manufacturing steers made between 272c and 342c with the crossbred portion between 280 and 372c/kg. Most light and medium weight cows sold between 205c and 256c/kg. Heavy weight cows made mostly from 243c to 298c/kg. Heavy bulls sold from 270c to 316c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Manufacturing Steer,540+,Restocker,D,2,13,-4,292.0,325.0,303.9230769230769,-3.1,561.5,615.4,581.7,1606.0,1868.8,1702.6346153846155
Grown Steer,400-500,Processor,C,3,10,NQ,346.0,346.0,346,NQ,629.1,629.1,629.1,1557.0,1557.0,1557
Grown Steer,500-600,Processor,B,3,2,NQ,384.0,384.0,384,NQ,662.1,662.1,662.1,2112.0,2112.0,2112
Grown Steer,500-600,Processor,C,2,21,10,335.0,366.0,355.6666666666667,-1.2,632.1,677.8,662.5,2010.0,2104.5,2073
Grown Steer,500-600,Processor,C,3,14,-17,363.0,380.0,370.85714285714283,-6.3,660.0,690.9,674.3,1996.5,2280.0,2173.285714285714
Grown Steer,500-600,Processor,D,3,7,NQ,360.0,383.0,379.7142857142857,NQ,654.5,709.3,701.4,2160.0,2202.3,2196.214285714286
Grown Steer,500-600,Restocker,C,2,3,-29,340.0,344.0,342.6666666666667,4.7,629.6,637.0,634.6,1836.0,1892.0,1873.3333333333333
Grown Steer,600-750,Processor,B,2,7,NQ,330.0,330.0,330,NQ,589.3,589.3,589.3,2161.5,2161.5,2161.5
Grown Steer,600-750,Processor,C,2,12,11,378.0,378.0,378,43.0,700.0,700.0,700.0,2457.0,2457.0,2457
Grown Steer,600-750,Processor,C,4,77,-66,382.0,403.0,393.24675324675326,5.3,692.9,719.6,706.6,2598.8,2962.5,2779.3474025974024
Grown Steer,600-750,Processor,D,3,13,6,350.0,390.0,385,17.0,660.4,722.2,713.0,2275.0,2535.0,2509.519230769231
Grown Steer,750+,Processor,C,4,14,11,395.0,395.0,395,33.3,693.0,693.0,693.0,3160.0,3160.0,3160
Grown Heifer,0-540,Dairy,E,2,29,26,235.0,270.0,250.6206896551724,-7.4,522.2,562.5,539.4,893.0,1350.0,1108.2758620689656
Grown Heifer,0-540,Processor,D,2,4,-7,268.0,290.0,277.5,13.5,552.0,580.0,560.6,1005.0,1380.0,1285.625
Grown Heifer,0-540,Processor,D,3,2,-4,310.0,310.0,310,-4.0,620.0,620.0,620.0,1550.0,1550.0,1550
Grown Heifer,0-540,Restocker,D,1,2,NQ,266.0,268.0,267,NQ,578.3,582.6,580.4,1018.4,1170.4,1094.4000244140625
Grown Heifer,0-540,Restocker,D,2,2,1,284.0,284.0,284,-6.0,604.3,604.3,604.3,1136.0,1136.0,1136
Grown Heifer,540+,Dairy,D,2,14,NQ,286.0,292.0,291.57142857142856,NQ,595.8,608.3,607.4,1606.0,2002.0,1634.2857142857142
Grown Heifer,540+,Processor,B,3,2,NC,320.0,345.0,332.5,-17.5,571.4,616.1,593.8,1840.0,1983.8,1911.875
Grown Heifer,540+,Processor,C,2,1,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1782.5,1782.5,1782.5
Grown Heifer,540+,Processor,D,2,16,15,280.0,296.0,284,-24.0,538.5,616.7,558.0,1610.0,1628.0,1614.5
Grown Heifer,540+,Processor,D,3,33,-29,305.0,340.0,316,1.4,581.5,629.6,590.1,1753.8,2040.0,1812.2575757575758
Grown Heifer,540+,Processor,D,4,29,16,295.0,318.0,307.6551724137931,6.7,586.5,611.5,597.9,1622.5,2067.0,1860.103448275862
Grown Heifer,540+,Restocker,D,2,8,NQ,275.0,280.0,278.75,NQ,572.9,583.3,580.7,1512.5,1540.0,1533.125
Cows,0-400,Dairy,E,1,41,39,155.0,190.0,169.82926829268294,15.8,387.5,475.0,424.6,589.0,722.0,656.3170731707318
Cows,0-400,Dairy,E,2,2,NQ,210.0,210.0,210,NQ,477.3,477.3,477.3,798.0,798.0,798
Cows,0-400,Processor,D,1,2,-3,180.0,180.0,180,-18.0,409.1,409.1,409.1,684.0,684.0,684
Cows,0-400,Restocker,D,1,2,1,210.0,210.0,210,10.0,477.3,477.3,477.3,840.0,840.0,840
Cows,0-400,Restocker,E,1,31,-18,138.0,220.0,155.2258064516129,20.5,345.0,578.9,387.5,448.5,836.0,553.1322454637096
Cows,400-520,Dairy,D,1,7,2,234.0,234.0,234,24.0,520.0,520.0,520.0,1170.0,1170.0,1170
Cows,400-520,Dairy,D,2,5,NQ,250.0,250.0,250,NQ,531.9,531.9,531.9,1250.0,1250.0,1250
Cows,400-520,Dairy,E,1,89,-4,205.0,225.0,218.61797752808988,28.9,500.0,539.5,528.8,901.0,1125.0,1055.6320224719102
Cows,400-520,Dairy,E,2,48,26,235.0,242.0,239.79166666666666,21.0,522.2,537.8,532.9,1057.5,1210.0,1126.875
Cows,400-520,Processor,D,1,31,27,244.0,255.0,250.2258064516129,8.2,542.2,566.7,552.5,1159.0,1275.0,1211.1935483870968
Cows,400-520,Processor,D,2,9,7,256.0,256.0,256,4.0,544.7,544.7,544.7,1280.0,1280.0,1280
Cows,400-520,Processor,E,1,15,6,214.0,230.0,220.6,10.6,509.5,522.7,515.3,967.5,1070.0,1044.7
