Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 17/04/2024
Comparison Date: 10/04/2024
Total Yarding: 3785 (+2135)
Commentary
"Numbers increased by more than 2100 for a yarding of 3785 head.  The larger numbers continued the trend of other selling centres with values easing for most categories despite a large buyer gallery. Quality was mostly good throughout, however the cow offering was not as good as the previous week. All regular processors operated at subdued rates, however demand improved throughout the sale, supported by one feeder, one live exporter and several opportunity restockers. Cattle were drawn from Julia Ck to Croydon in the north, east to Ingham and south to Bowen and the local area. 

Strong restocked demand for good quality heifers was the highlight of the sale, however most categories were easier on last week - notably cows and bullocks averaging 20c to 45c lower.

Best quality suitably weaned flat back steers topped at 334c, a large sample of Brahman steers averaged 307c/kg, with lesser quality lines averaging 285c/kg.  Similar heifers to processors made to 210c to average 185c/kg.  Yearling steers above 200kg returning to the paddock averaged 254c, topping at 276c, steers above 330kg to feed sold to 254c averaging 250c/kg. A very good sample of light yearling heifers returning  to the paddock topped at 290c to average 250c/kg. Heavy yearling heifers above 400kg to the trade reached 232c to average 204c/kg.

A very good quality sample of heavy grown steers to processors sold to 238c to average 236c, steers suitable for live export averaged 256c/kg. A small sample of grown heifers to the trade made to 242c to average 230c/kg.

Heavy bullocks to export slaughter topped at 240c to average from 231c to 234c/kg.  Medium weight 3 score cows sold to an isolated 216c, the majority averaging 186c/kg.  Medium weight bulls to live export made to 270c, while heavy bulls to feed destined for live export averaged 238c/kg.

A good number of cows and calves sold from $900 to $1,200 per unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Restocker,D,3,12,NQ,236.0,236.0,236,NQ,445.3,445.3,445.3,1121.0,1121.0,1121
Grown Steer,500-600,Feeder,D,3,16,NQ,260.0,260.0,260,NQ,490.6,490.6,490.6,1339.0,1339.0,1339
Grown Steer,500-600,Live Export,C,3,16,NQ,236.0,236.0,236,NQ,437.0,437.0,437.0,1345.2,1345.2,1345.199951171875
Grown Steer,500-600,Live Export,D,3,3,NQ,250.0,250.0,250,NQ,471.7,471.7,471.7,1275.0,1275.0,1275
Grown Steer,500-600,Processor,C,3,17,-11,232.0,238.0,237.64705882352942,-32.6,437.7,440.7,440.6,1183.2,1368.5,1357.5999971277574
Grown Steer,500-600,Processor,C,4,1,NQ,240.0,240.0,240,NQ,444.4,444.4,444.4,1224.0,1224.0,1224
Grown Heifer,0-540,Feeder,D,2,1,NQ,170.0,170.0,170,NQ,326.9,326.9,326.9,663.0,663.0,663
Grown Heifer,0-540,Feeder,D,3,3,NQ,190.0,190.0,190,NQ,380.0,380.0,380.0,741.0,741.0,741
Grown Heifer,0-540,Processor,C,3,3,-18,190.0,190.0,190,-55.2,365.4,365.4,365.4,741.0,741.0,741
Grown Heifer,0-540,Processor,D,2,2,-4,180.0,180.0,180,-40.0,346.2,360.0,353.1,648.0,792.0,720
Grown Heifer,0-540,Processor,D,3,28,8,182.0,242.0,229.96428571428572,1.6,364.0,465.4,447.9,709.8,982.8,861.2321690150669
Cows,0-400,Feeder,D,1,6,-52,100.0,100.0,100,-42.7,217.4,217.4,217.4,355.0,355.0,355
Cows,0-400,Feeder,D,2,1,-27,130.0,130.0,130,-12.6,282.6,282.6,282.6,487.5,487.5,487.5
Cows,0-400,Processor,D,2,52,21,140.0,168.0,154.73076923076923,-10.0,269.2,357.4,331.2,440.2,646.8,583.2826913686899
Cows,0-400,Processor,D,3,15,-5,150.0,179.0,175.13333333333333,9.6,312.5,380.9,371.7,592.5,698.1,684.0199869791667
Cows,0-400,Restocker,D,1,1,-19,94.0,94.0,94,-92.0,204.3,204.3,204.3,305.5,305.5,305.5
Cows,0-400,Restocker,D,2,14,NQ,166.0,174.0,172,NQ,353.2,370.2,366.0,572.7,678.6,652.3642926897321
Cows,400-520,Processor,C,3,29,9,184.0,191.0,186.58620689655172,-44.1,368.0,381.6,374.5,813.5,983.7,869.912075700431
Cows,400-520,Processor,C,4,7,NQ,175.0,182.0,179,NQ,350.0,364.0,358.0,866.3,928.2,901.6500069754464
Cows,400-520,Processor,D,2,9,-26,166.0,170.0,166.88888888888889,-8.1,345.8,361.7,349.4,705.5,730.4,724.86669921875
Cows,400-520,Processor,D,3,351,128,140.0,216.0,186.35327635327636,-26.9,291.7,440.8,383.4,602.0,1058.4,858.5394558376736
Cows,400-520,Processor,D,4,18,16,190.0,190.0,190,-20.0,387.8,387.8,387.8,950.0,950.0,950
Cows,520+,Processor,C,4,15,-7,192.0,192.0,192,-37.9,384.0,384.0,384.0,1036.8,1036.8,1036.8000651041666
Cows,520+,Processor,D,4,2,NQ,180.0,180.0,180,NQ,352.9,352.9,352.9,954.0,954.0,954
Calves,80+,Processor,C,2,19,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,270.0,270.0,270
Calves,80+,Restocker,C,2,21,NQ,326.0,326.0,326,NQ,626.9,626.9,626.9,635.7,635.7,635.7000093005952
Calves,80+,Restocker,D,2,14,-1,281.0,281.0,281,-14.9,540.4,540.4,540.4,533.9,533.9,533.9000418526786
Bulls,0-450,Feeder,C,2,15,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,649.0,759.0,678.3333333333334
Bulls,0-450,Feeder,D,2,14,-6,160.0,210.0,188.57142857142858,-64.3,307.7,403.8,362.6,610.0,682.5,635.1428571428571
Bulls,0-450,Feeder,E,2,1,-2,100.0,100.0,100,-70.0,196.1,196.1,196.1,335.0,335.0,335
Bulls,0-450,Live Export,D,2,1,NC,268.0,268.0,268,18.0,515.4,515.4,515.4,1165.8,1165.8,1165.800048828125
Bulls,0-450,Restocker,C,2,218,192,190.0,299.0,241.0137614678899,-21.7,365.4,575.0,463.5,494.0,771.8,600.6612386441012
Bulls,0-450,Restocker,D,2,181,149,150.0,290.0,224.64088397790056,-27.0,294.1,557.7,432.1,270.0,877.5,520.232595875777
Bulls,0-450,Restocker,E,2,2,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,285.0,285.0,285
Bulls,450-600,Feeder,C,3,1,NC,160.0,160.0,160,-94.0,296.3,296.3,296.3,736.0,736.0,736
Bulls,450-600,Feeder,D,2,9,NQ,208.0,212.0,211.11111111111111,NQ,400.0,407.7,406.0,975.2,1123.2,1008.0888671875
Bulls,450-600,Feeder,D,3,17,14,206.0,220.0,213.05882352941177,-34.3,388.7,415.1,402.0,1112.4,1122.0,1116.9882525275734
Bulls,450-600,Live Export,C,3,4,3,248.0,248.0,248,-12.0,459.3,459.3,459.3,1388.8,1388.8,1388.800048828125
Bulls,450-600,Live Export,D,2,1,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1323.0,1323.0,1323
Bulls,450-600,Processor,D,3,1,NC,210.0,210.0,210,6.0,396.2,396.2,396.2,1092.0,1092.0,1092
Bulls,600+,Feeder,C,3,4,-3,238.0,238.0,238,-30.9,440.7,440.7,440.7,1761.2,1761.2,1761.199951171875
Bulls,600+,Feeder,D,3,1,-1,238.0,238.0,238,22.0,440.7,440.7,440.7,1570.8,1570.8,1570.800048828125
Bulls,600+,Processor,C,3,5,-1,180.0,246.0,218.4,-22.6,339.6,447.3,399.6,1188.0,1894.2,1532.87998046875
