Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Bulls,450-600,Live Export,D,3,12,NQ,270.0,292.0,288,NQ,509.4,550.9,543.4,1377.0,1693.6,1630.4833170572917
Bulls,450-600,Processor,C,2,1,NQ,242.0,242.0,242,NQ,456.6,456.6,456.6,1355.2,1355.2,1355.199951171875
Bulls,450-600,Processor,C,3,1,NQ,296.0,296.0,296,NQ,548.1,548.1,548.1,1568.8,1568.8,1568.800048828125
Bulls,450-600,Processor,D,2,40,NQ,142.0,276.0,196.05,NQ,273.1,530.8,377.0,695.8,1600.8,981.1274993896484
Bulls,450-600,Processor,D,3,33,NQ,160.0,286.0,246.96969696969697,NQ,307.7,535.8,464.7,896.0,1618.8,1356.3363591974432
Bulls,450-600,Processor,E,2,13,NQ,120.0,206.0,138.92307692307693,NQ,230.8,396.2,268.3,552.0,1009.4,643.8000018780048
Bulls,600+,Live Export,D,3,9,4,278.0,288.0,281.3333333333333,1.3,524.5,543.4,530.8,1695.8,1814.4,1735.3334418402778
Bulls,600+,Processor,C,2,1,NQ,244.0,244.0,244,NQ,451.9,451.9,451.9,1659.2,1659.2,1659.199951171875
Bulls,600+,Processor,C,3,6,NQ,276.0,296.0,292.6666666666667,NQ,511.1,538.2,533.7,2012.8,2014.8,2013.1333414713542
Bulls,600+,Processor,D,3,5,NQ,296.0,296.0,296,NQ,548.1,548.1,548.1,1790.8,1790.8,1790.8
