Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 07/01/2025
Comparison Date: 10/12/2024
Total Yarding: 1450 (-750)
Commentary
"There were 950 exports of that 370 were cows and 545 trade cattle were penned. First sale back for 2025 saw the market kick, even though not all buyers attended or purchasing, the exporters at the rails were keen to source the well shaped and finished grown stock. 

The trade cattle were a little variable in quality, however this failed to stop the price rises of 10c to 30c/kg, There was a fair to good quality offering of medium to heavy vealers that made from 340c to 388c/kg. The yearling steers to the trade ranged from 333c to 395c/kg, while the yearling heifers ranged from 320c to 385c/kg. Feedlotters were active across the yard which helped lift plainer cattle prices.

The grown steers were 20c to 25c/kg increase. The 500 to 600kg grown steers made from 350c to 385c/kg. The 600kg plus steers made from 335c to 395c/kg to average 378c/kg. 

There was a good line up of fattened dairy cows , however it was the plainer types that saw the greatest gain. Prices for heavy Friesians rose by 10c to 25c/kg.  The beef cows gained 6c to 11c/kg. Beef cows made from 289c to 322c/kg, while the dairy portion made from 255c to 308c/kg. The beef bulls made from 275c to a top of 340c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,520+,Dairy,D,3,10,-1,287.0,308.0,299.6,10.6,610.6,655.3,637.4,1707.7,2202.2,2004.379931640625
Cows,520+,Dairy,E,1,56,5,257.0,260.0,257.9642857142857,25.4,597.7,650.0,608.0,1365.0,1503.4,1470.5553152901787
Cows,520+,Processor,D,1,14,NQ,289.0,290.0,289.35714285714283,NQ,568.6,614.9,598.4,1580.5,1589.5,1586.2857142857142
Cows,520+,Processor,D,2,10,NQ,297.0,297.0,297,NQ,594.0,594.0,594.0,1633.5,1633.5,1633.5
Cows,520+,Processor,D,3,27,-31,300.0,312.0,308.14814814814815,11.3,588.2,616.0,607.8,1700.4,1786.4,1738.014865451389
Cows,520+,Processor,D,4,72,-22,290.0,322.0,313.5416666666667,6.6,566.0,613.5,599.7,1696.5,2302.3,1951.2493353949653
Bulls,450-600,Processor,C,1,1,NQ,275.0,275.0,275,NQ,518.9,518.9,518.9,1375.0,1375.0,1375
Bulls,600+,Dairy,D,1,2,NQ,275.0,315.0,295,NQ,550.0,605.8,577.9,2667.5,2961.0,2814.25
Bulls,600+,Processor,B,2,2,NQ,330.0,330.0,330,NQ,569.0,578.9,574.0,2821.5,2970.0,2895.75
Bulls,600+,Processor,B,3,6,NQ,340.0,340.0,340,NQ,586.2,586.2,586.2,3216.4,3216.4,3216.3997395833335
Bulls,600+,Processor,C,2,1,NQ,295.0,295.0,295,NQ,536.4,536.4,536.4,2212.5,2212.5,2212.5
Bulls,600+,Processor,C,3,8,NQ,290.0,325.0,310.125,NQ,557.7,601.9,580.9,2102.5,3965.0,2980.6187438964844
