Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Moss Vale
Report Date: 22/01/2025
Comparison Date: 15/01/2025
Total Yarding: 1562 (+35)
Commentary
"Numbers remained similar,  for a total yarding of 1547 fair, to outstanding quality cattle. Young cattle suiting the restockers were well supplied, along with a few good pens of feeder steers, and there were some outstanding runs of high yielding yearlings to suit the trade. There were a few good pens of heavy grown cattle, and there were 210 cows. All the usual buyers were operating, selling to a cheaper market.

Prime yearlings were up to 12c cheaper, making from 285c to 436c/kg. Feeder steers slipped 10c overall, despite topping at 418c, to average 348c/kg. Heifers to feed were slightly cheaper, ranging from 285c to 358c, to average 298c/kg.  There was still strong competition for well-bred weaners returning to the paddock, with the steers selling from 296c to  438c, and the heifers sold from 272c to 440c/kg.

Heavy grown steers were back 10c, making from 290c to 346c, and grown heifers, price unchanged, made from 275c to 344c/kg. Lighter and leaner cows were firm to few cents better, to average 250c, and heavy 3 and 4 score cows slipped 8c, selling from 265c to 313c/kg. There were 60 bulls to process, ranging from 240c to 320c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Processor,D,4,3,NQ,295.0,295.0,295,NQ,627.7,627.7,627.7,1504.5,1504.5,1504.5
Cows,520+,Processor,C,4,11,NQ,307.0,313.0,309.09090909090907,NQ,611.8,614.0,613.7,2159.7,2486.7,2368.5818093039775
Cows,520+,Processor,D,3,47,-12,265.0,292.0,280.72340425531917,-7.9,563.8,621.3,597.5,1391.3,1822.4,1579.8734026969748
Cows,520+,Processor,D,4,133,49,288.0,305.0,296.9323308270677,-8.5,587.8,635.4,617.6,1613.2,2205.0,1883.8823278900377
Calves,80+,Restocker,C,2,16,NQ,320.0,430.0,357.1875,NQ,592.6,781.8,656.9,448.0,645.0,510.359375
Bulls,0-450,Processor,B,2,8,NQ,265.0,265.0,265,NQ,456.9,456.9,456.9,1020.3,1020.3,1020.25
Bulls,450-600,Processor,B,1,1,NQ,290.0,290.0,290,NQ,491.5,491.5,491.5,1493.5,1493.5,1493.5
Bulls,450-600,Processor,B,2,27,NQ,270.0,271.0,270.25925925925924,NQ,457.6,467.2,460.1,1228.5,1471.5,1343.3999927662037
Bulls,450-600,Processor,C,1,7,6,240.0,250.0,245.71428571428572,-44.3,421.1,438.6,432.2,1176.0,1437.5,1382.0714285714287
Bulls,600+,Processor,B,1,7,-6,285.0,320.0,295.57142857142856,0.5,475.0,516.9,496.2,2080.5,3232.0,2470.4142717633927
Bulls,600+,Processor,B,2,4,-4,295.0,320.0,306.25,-1.8,491.8,516.1,504.0,1784.8,3440.0,2772.0625
Bulls,600+,Processor,C,1,2,NQ,245.0,250.0,247.5,NQ,429.8,438.6,434.2,1629.3,1725.0,1677.125
Bulls,600+,Processor,C,2,2,NC,265.0,280.0,272.5,-7.5,464.9,482.8,473.8,1603.3,2114.0,1858.625
