Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Calves,80+,Restocker,D,2,7,-7,258.0,258.0,258,112.0,496.2,496.2,496.2,477.3,477.3,477.2999790736607
Bulls,0-450,Feeder,C,2,35,16,176.0,242.0,208.17142857142858,12.2,338.5,465.4,400.3,545.6,883.3,714.0942522321428
Bulls,0-450,Feeder,D,2,34,10,126.0,232.0,205.7058823529412,17.3,242.3,446.2,395.6,390.6,939.6,745.1117634492762
Bulls,0-450,Feeder,D,3,1,NQ,172.0,172.0,172,NQ,324.5,324.5,324.5,731.0,731.0,731
Bulls,0-450,Feeder,E,2,7,NQ,140.0,140.0,140,NQ,269.2,274.5,270.7,476.0,602.0,534
Bulls,0-450,Live Export,D,2,35,1,176.0,218.0,198.57142857142858,-18.8,338.5,419.2,381.9,536.9,730.3,636.5428431919643
Bulls,0-450,Processor,D,2,3,-27,172.0,172.0,172,29.7,330.8,330.8,330.8,559.0,559.0,559
Bulls,0-450,Restocker,C,2,100,3,192.0,230.0,213.14,18.5,369.2,442.3,409.9,333.5,441.6,376.07300537109376
Bulls,0-450,Restocker,D,2,113,-95,140.0,218.0,209.46902654867256,16.5,269.2,419.2,402.8,332.8,487.6,385.06017742325776
Bulls,0-450,Restocker,E,2,1,NQ,52.0,52.0,52,NQ,100.0,100.0,100.0,104.0,104.0,104
Bulls,450-600,Feeder,D,2,27,12,110.0,236.0,210.5185185185185,19.3,211.5,453.8,404.7,561.0,1276.8,1056.3000081380208
Bulls,450-600,Feeder,D,3,4,NQ,190.0,214.0,198.5,NQ,358.5,403.8,376.3,893.0,1219.8,1022.9500122070312
Bulls,450-600,Feeder,E,2,1,NQ,140.0,140.0,140,NQ,274.5,274.5,274.5,651.0,651.0,651
Bulls,450-600,Processor,C,3,2,-1,170.0,170.0,170,-49.3,314.8,314.8,314.8,884.0,884.0,884
Bulls,450-600,Processor,D,2,1,-2,160.0,160.0,160,-3.3,307.7,307.7,307.7,856.0,856.0,856
Bulls,450-600,Processor,D,3,1,NC,170.0,170.0,170,-10.0,326.9,326.9,326.9,884.0,884.0,884
Bulls,450-600,Processor,E,3,1,NQ,160.0,160.0,160,NQ,307.7,307.7,307.7,864.0,864.0,864
Bulls,450-600,Restocker,D,2,1,NQ,52.0,52.0,52,NQ,100.0,100.0,100.0,254.8,254.8,254.8000030517578
Bulls,600+,Feeder,D,3,14,8,120.0,218.0,204,-18.0,218.2,411.3,383.7,828.0,1362.5,1286.142857142857
Bulls,600+,Processor,C,2,1,NQ,170.0,170.0,170,NQ,320.8,320.8,320.8,1071.0,1071.0,1071
Bulls,600+,Processor,C,3,3,-12,190.0,190.0,190,-24.7,345.5,345.5,345.5,1406.0,1406.0,1406
Bulls,600+,Processor,D,3,22,19,160.0,222.0,168.8181818181818,-21.2,290.9,411.1,307.6,1264.0,1398.6,1285.1454523259943
