Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Manufacturing Steer,540+,Processor,D,2,34,15,275.0,312.6,284.7176477768842,28.2,528.8,589.8,546.2,1512.5,1719.3,1604.6647087545955
Manufacturing Steer,540+,Processor,D,3,19,9,307.6,316.2,312.6947423031456,23.8,580.4,596.6,590.0,1784.6,2052.2,1940.3048738178454
Manufacturing Steer,540+,Processor,D,4,1,-7,270.0,270.0,270,-10.0,500.0,500.0,500.0,1998.0,1998.0,1998
Manufacturing Steer,540+,Restocker,C,2,3,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,1767.0,1767.0,1767
Manufacturing Steer,540+,Restocker,D,2,6,NQ,287.6,287.6,287.6000162760417,NQ,575.2,575.2,575.2,1610.6,1610.6,1610.56005859375
Grown Steer,0-400,Restocker,D,2,1,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,887.5,887.5,887.5
Grown Steer,400-500,Feeder,C,2,3,NQ,325.0,331.6,328.8666687011719,NQ,611.1,625.7,616.7,1511.3,1658.0,1595.4166666666667
Grown Steer,400-500,Feeder,C,3,1,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,1617.0,1617.0,1617
Grown Steer,400-500,Processor,C,3,12,10,310.0,335.0,327.4166666666667,0.8,563.6,620.4,601.9,1512.8,1675.0,1611.2500406901042
Grown Steer,400-500,Restocker,C,2,4,-5,316.6,331.6,320.35001373291016,-3.5,597.4,625.7,604.4,1583.0,1658.0,1601.75
Grown Steer,400-500,Restocker,D,2,1,NQ,238.0,238.0,238,NQ,466.7,466.7,466.7,1035.3,1035.3,1035.300048828125
Grown Steer,500-600,Feeder,C,2,18,9,322.2,345.0,337.40000406901044,24.9,607.9,650.9,636.6,1804.3,1983.8,1923.9399956597222
Grown Steer,500-600,Processor,C,3,24,-10,311.6,350.0,334.8833376566569,14.8,572.7,636.4,611.7,1620.3,2052.8,1921.3383229573567
Grown Steer,500-600,Processor,D,3,19,10,296.0,328.0,317.23158665707234,27.4,548.1,607.4,589.2,1509.6,1935.2,1816.4052348889802
Grown Steer,500-600,Processor,D,4,8,NQ,340.8,340.8,340.79998779296875,NQ,643.0,643.0,643.0,1908.5,1908.5,1908.47998046875
Grown Steer,500-600,Restocker,C,2,40,22,301.6,326.6,321.6000099182129,14.8,580.0,616.2,607.1,1612.6,1915.7,1796.835137939453
Grown Steer,600-750,Processor,C,3,26,-24,325.0,350.0,345.1999981219952,28.8,590.9,636.4,627.6,1982.5,2340.6,2267.813025841346
Grown Steer,600-750,Processor,C,4,3,-53,284.2,335.0,318.06667073567706,-4.2,516.7,609.1,578.3,2103.1,2211.0,2175.0266927083335
Grown Steer,600-750,Processor,D,3,39,-11,300.0,340.2,331.1333485138722,25.7,555.6,630.0,613.5,1920.0,2201.1,2130.5831173627803
Grown Heifer,0-540,Dairy,E,2,1,NQ,190.0,190.0,190,NQ,422.2,422.2,422.2,684.0,684.0,684
Grown Heifer,0-540,Feeder,C,2,2,NQ,318.0,318.0,318,NQ,611.5,611.5,611.5,1462.8,1462.8,1462.800048828125
Grown Heifer,0-540,Feeder,D,3,1,NQ,285.0,285.0,285,NQ,548.1,548.1,548.1,1311.0,1311.0,1311
Grown Heifer,0-540,Processor,C,3,4,-4,306.0,364.2,323.7000045776367,13.3,566.7,662.2,596.4,1575.9,1802.8,1636.8975219726562
Grown Heifer,0-540,Processor,D,2,30,NQ,250.0,296.6,257.75999552408854,NQ,480.8,570.4,497.3,1150.0,1436.4,1334.9070149739584
Grown Heifer,0-540,Processor,D,3,35,-22,260.0,326.0,295.8285714285714,36.7,500.0,615.1,560.4,1195.2,1727.8,1441.1308907645089
Grown Heifer,0-540,Processor,D,4,2,NQ,298.0,298.0,298,NQ,562.3,573.1,567.7,1221.8,1221.8,1221.800048828125
Grown Heifer,0-540,Restocker,D,2,2,-4,250.0,250.0,250,10.3,500.0,500.0,500.0,967.5,967.5,967.5
Grown Heifer,0-540,Restocker,D,3,7,NQ,314.6,314.6,314.59999302455356,NQ,593.6,593.6,593.6,1422.0,1422.0,1421.9920479910713
Grown Heifer,540+,Processor,C,3,3,2,312.6,328.0,322.8666687011719,15.3,578.9,607.4,597.9,1777.8,1844.3,1799.9533284505208
Grown Heifer,540+,Processor,C,4,3,1,318.6,320.6,319.2666727701823,-0.7,590.0,593.7,591.2,1847.9,2019.8,1905.1800130208333
Grown Heifer,540+,Processor,D,3,30,2,270.0,325.0,297.02000223795574,15.9,519.2,613.2,562.8,1512.0,1938.1,1675.4214680989583
Grown Heifer,540+,Processor,D,4,12,-6,330.2,330.2,330.20001220703125,38.9,623.0,623.0,623.0,1882.1,1882.1,1882.1399739583333
Cows,400-520,Processor,D,1,14,NQ,224.2,224.2,224.20000348772322,NQ,467.1,467.1,467.1,1143.4,1143.4,1143.4200613839287
Cows,400-520,Processor,D,2,12,4,215.0,231.0,229,7.0,430.0,462.0,458.0,1075.0,1155.0,1106.63330078125
Cows,520+,Dairy,D,1,7,-3,222.0,225.6,224.57142857142858,44.4,482.6,490.4,488.2,1285.9,1287.6,1286.4000069754463
Cows,520+,Dairy,D,2,10,-22,212.0,262.0,252,28.5,441.7,569.6,544.0,1166.0,1755.4,1637.52001953125
Cows,520+,Dairy,D,3,4,-8,275.0,275.0,275,28.4,572.9,572.9,572.9,2035.0,2035.0,2035
Cows,520+,Processor,D,2,25,-7,255.0,266.6,262.256005859375,17.1,509.8,522.7,515.4,1498.0,1555.5,1531.3817578125
Cows,520+,Processor,D,3,24,-28,272.2,291.6,283.6000162760417,17.3,523.5,572.4,556.5,1497.1,2064.5,1753.4530029296875
Cows,520+,Processor,D,4,24,-2,291.6,300.0,296.82500712076825,22.8,550.2,566.0,560.0,2064.5,2212.5,2172.911417643229
Bulls,450-600,Dairy,D,2,1,NQ,225.0,225.0,225,NQ,424.5,424.5,424.5,1282.5,1282.5,1282.5
Bulls,450-600,Processor,C,2,1,-1,270.0,270.0,270,40.0,500.0,500.0,500.0,1579.5,1579.5,1579.5
Bulls,450-600,Processor,C,3,1,NQ,300.0,300.0,300,NQ,545.5,545.5,545.5,1410.0,1410.0,1410
Bulls,600+,Dairy,C,2,1,NQ,260.2,260.2,260.20001220703125,NQ,481.9,481.9,481.9,2081.6,2081.6,2081.60009765625
Bulls,600+,Processor,B,2,3,1,280.0,305.0,293.3333333333333,23.3,509.1,535.1,523.7,2142.0,2802.5,2532.6666666666665
Bulls,600+,Processor,C,2,1,NQ,220.0,220.0,220,NQ,407.4,407.4,407.4,1364.0,1364.0,1364
