Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 28/01/2025
Comparison Date: 21/01/2025
Total Yarding: 2567 (-689)
Commentary
"There were approximately 2060 export and 500 young cattle penned representing a decrease of 690 head week-on-week. The usual buying group was present and operating in a cheaper market in places. Quality was good with a large proportion of the yarding carrying plenty of finish. Trade cattle sold firm to 4c/kg easier. Grown steers and bullocks sold firm to slightly dearer. Manufacturing steers gave back 4c to 6c/kg. Heavy heifers eased 3c/kg. Cows eased 5c to 15c/kg. Heavy bulls gained 5c to 10c/kg. 

Vealers sold from 297c to 380c/kg. Yearling trade steers made between 330c and 375c/kg. Yearling heifers to the trade sold between 310c and 376c/kg. Grown steers made from 330c to 388c/kg. Bullocks sold from 348c to 396c/kg. 

Heavy Friesian manufacturing steers made between 250c and 325c with the crossbred portion between 300c and 374c/kg. Most light and medium weight cows sold between 200c and 272c/kg. Heavy weight cows made mostly from 234c to 302c/kg. Heavy bulls sold from 275c to 320c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Feeder,C,2,16,NQ,358.0,358.0,358,NQ,663.0,663.0,663.0,2004.8,2004.8,2004.800048828125
Grown Steer,500-600,Processor,B,2,13,11,330.0,338.0,333.0769230769231,-18.9,589.3,625.9,603.4,1943.5,1980.0,1965.9615384615386
Grown Steer,500-600,Processor,B,3,8,NQ,330.0,345.0,338.5,NQ,569.0,594.8,587.4,1848.0,1983.8,1914.875
Grown Steer,500-600,Processor,C,3,6,-29,370.0,388.0,385,7.7,672.7,692.9,689.5,2127.5,2328.0,2294.5833333333335
Grown Steer,500-600,Restocker,C,2,3,-1,330.0,340.0,336.6666666666667,-7.3,611.1,629.6,623.5,1732.5,1785.0,1767.5
Grown Steer,600-750,Processor,B,3,2,-15,330.0,348.0,339,-35.4,569.0,600.0,584.5,2145.0,2262.0,2203.5
Grown Steer,600-750,Processor,C,2,29,NQ,348.0,381.0,367.55172413793105,NQ,644.4,692.7,675.8,2227.2,2571.8,2402.912042025862
Grown Steer,600-750,Processor,C,4,96,-6,370.0,396.0,390.3958333333333,0.5,672.7,707.1,698.7,2405.0,2955.0,2755.6223958333335
Grown Steer,600-750,Processor,D,3,4,-13,380.0,380.0,380,5.8,703.7,703.7,703.7,2470.0,2470.0,2470
Grown Steer,750+,Processor,C,4,50,31,375.0,396.0,383.82,6.2,669.6,707.1,688.4,2906.3,3069.0,2997.465
Grown Heifer,0-540,Dairy,D,1,28,NQ,240.0,278.0,261.42857142857144,NQ,521.7,617.8,565.6,912.0,1251.0,1113.471400669643
Grown Heifer,0-540,Dairy,E,2,1,-5,264.0,264.0,264,-21.3,586.7,586.7,586.7,1188.0,1188.0,1188
Grown Heifer,0-540,Processor,D,2,25,20,248.0,300.0,278.56,-1.8,516.7,600.0,579.3,818.4,1575.0,1311.14400390625
Grown Heifer,0-540,Processor,D,3,3,-3,319.0,319.0,319,-9.5,613.5,613.5,613.5,1674.8,1674.8,1674.75
Grown Heifer,0-540,Processor,D,4,3,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,1522.5,1522.5,1522.5
Grown Heifer,0-540,Restocker,C,2,4,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1472.5,1472.5,1472.5
