Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Restocker,D,2,13,NQ,269.6,269.6,269.60000375600964,NQ,528.6,528.6,528.6,1294.1,1294.1,1294.0799278846155
Cows,520+,Dairy,D,1,77,-10,180.0,255.0,231.71428571428572,-29.4,409.1,545.5,508.3,1116.0,1869.2,1519.056247463474
Cows,520+,Dairy,D,2,49,14,230.0,275.0,254.9387755102041,-28.8,487.5,585.1,540.5,1263.6,2117.5,1695.0938895089287
Cows,520+,Dairy,D,3,41,33,262.0,285.0,275.4390243902439,-14.6,534.7,570.0,558.8,1729.2,2223.0,1935.4790396341464
Cows,520+,Dairy,E,1,9,1,170.0,228.0,221.55555555555554,-14.4,386.4,506.7,493.3,986.0,1418.2,1370.1422526041667
Cows,520+,Dairy,E,2,13,NQ,225.0,235.0,228.84615384615384,NQ,511.4,522.2,515.5,1316.0,1320.8,1318.923076923077
Cows,520+,Processor,D,2,106,89,230.0,272.0,254.7471716538915,-31.3,460.0,533.3,499.6,1219.0,1611.6,1478.7499677550118
Cows,520+,Processor,D,3,148,50,260.0,302.0,281.7216236011402,-16.2,500.0,580.8,540.5,1443.0,1964.2,1722.8989472260346
Cows,520+,Processor,D,4,78,10,290.0,315.6,300.7512833032853,-18.8,547.2,584.9,566.3,1957.6,2318.0,2136.005640274439
Cows,520+,Processor,D,5,4,NQ,282.0,282.0,282,NQ,532.1,532.1,532.1,2219.3,2219.3,2219.340087890625
Cows,520+,Restocker,D,2,15,NQ,260.0,260.6,260.4800130208333,NQ,509.8,511.0,510.7,1378.0,1407.2,1401.3919270833333
Bulls,0-450,Processor,C,2,5,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,1039.5,1039.5,1039.5
Bulls,450-600,Processor,C,1,1,NQ,230.0,230.0,230,NQ,425.9,425.9,425.9,1329.4,1329.4,1329.4000244140625
Bulls,450-600,Processor,D,1,1,NQ,191.6,191.6,191.60000610351562,NQ,361.5,361.5,361.5,1120.9,1120.9,1120.8599853515625
Bulls,600+,Dairy,C,1,1,NQ,230.0,230.0,230,NQ,434.0,434.0,434.0,1794.0,1794.0,1794
Bulls,600+,Dairy,D,1,4,NQ,240.0,245.0,242.5,NQ,452.8,462.3,457.5,1560.0,1848.0,1636
Bulls,600+,Processor,B,1,1,NQ,296.6,296.6,296.6000061035156,NQ,539.3,539.3,539.3,2847.4,2847.4,2847.360107421875
Bulls,600+,Processor,B,2,7,NQ,258.0,312.6,282.6857169015067,NQ,469.1,558.2,509.7,1844.7,3204.1,2319.6871163504466
Bulls,600+,Processor,B,3,17,NQ,290.0,322.6,305.6705896714154,NQ,517.9,566.0,541.8,2030.0,3766.5,2716.73828125
Bulls,600+,Processor,C,1,1,NQ,254.6,254.6,254.60000610351562,NQ,480.4,480.4,480.4,1769.5,1769.5,1769.469970703125
Bulls,600+,Processor,C,2,2,NQ,250.0,260.0,255,NQ,463.0,481.5,472.2,1800.0,1892.8,1846.4000244140625
