Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Naracoorte
Report Date: 27/08/2024
Comparison Date: 
Total Yarding: 655 (NQ)
Commentary
" Cattle numbers increased by 200 with 655 yarded this week. Numbers were made up of 411 young cattle, 229 cows 5 grown bulls and a few open auction young cattle. Quality was mixed with well finished processing cattle in limited numbers, but with a few pens of grain assisted steers and heifers penned. The usual buying group attended and operated in a similar market on the grown steers and heifers, dearer on the few quality pens off grain to be up by 10c to 20/kg. Vealers and yearlings sold to the trade from 260c to 405c for the better types. Cows generally eased 10c to 20c on last week’s high levels with bulls selling to 300c to be a little dearer. 

Young cattle sold to the trade from 260 to 405c with feeders paying from 240c to 406c/kg. Plainer types sold from 80c to 180c/kg. 

Light and medium weight grown steers sold from 340c to 392c with feeders paying from 345c to 365c. Heavy steers sold to the trade from 382c to 400c. Medium weight grown heifers sold from 270c to 388c with heavy weights selling from 318c to 388c/kg. Feeders and restockers paid from 265f to 365c/kg. 

Light 1 and 2 score cows sold from 100c to 170c. Medium weight 2 and 3 score cows sold from 130 to 240c with the heavy 3 and 4 score cows selling from 308c to 350c, and  the 1 and 2 scores selling from 140c to 306c/kg. Medium bulls sold from 140c to 162, heavy weights sold from 290c to 300c with feeders paying from 140c to 270c/kg. 


Market Reporter - Graham Pymer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Processor,D,2,27,NQ,238.0,240.0,238.59259259259258,NQ,517.4,545.5,525.7,1190.0,1248.0,1207.1851851851852
Cows,400-520,Restocker,D,1,15,NQ,252.0,252.0,252,NQ,600.0,600.0,600.0,1222.2,1222.2,1222.2
Cows,520+,Processor,C,4,4,NQ,338.0,340.0,339.5,NQ,625.9,629.6,628.7,2095.6,2125.0,2113.4000244140625
Cows,520+,Processor,D,1,4,NC,148.0,258.0,230.5,-37.5,336.4,537.5,487.2,777.0,1354.5,1210.125
Cows,520+,Processor,D,2,45,-7,252.0,306.0,274.8666666666667,-30.0,525.0,620.8,571.1,1365.0,1790.1,1543.616677517361
Cows,520+,Processor,D,3,46,21,308.0,342.0,321.17391304347825,-18.4,592.3,676.0,629.2,1813.5,2137.5,1933.34130859375
Cows,520+,Processor,D,4,41,12,328.0,350.0,339.9756097560976,-17.7,630.8,671.2,643.5,2213.9,2445.3,2294.4572992092226
Cows,520+,Restocker,D,2,14,NQ,268.0,268.0,268,NQ,558.3,558.3,558.3,1487.4,1487.4,1487.3999720982142
Bulls,0-450,Feeder,C,1,4,NQ,140.0,244.0,166,NQ,269.2,469.2,319.2,280.0,793.0,408.25
Bulls,450-600,Feeder,C,2,3,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,1417.5,1417.5,1417.5
Bulls,450-600,Processor,C,1,2,NQ,140.0,164.0,152,NQ,269.2,315.4,292.3,805.0,902.0,853.5
Bulls,600+,Processor,B,2,2,-2,290.0,300.0,295,20.8,517.9,535.7,526.8,2320.0,2925.0,2622.5
