Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 04/12/2024
Comparison Date: 27/11/2024
Total Yarding: 3929 (+332)
Commentary
"There was further increase in numbers of 332 head, to 3929 head at CQLX Gracemere cattle sale. Cattle were again sourced from the usual draw areas with several lines on offer in most categories. One more processor operated, along with the return of one feed lot buyer. There were several different restockers also operating. There were quality related increases in most categories from last week, along with improvements in feeder steer and well finished processor cow lines above last sale rates.

Light weight yearling steers, in well bred pens, sold to 423c/kg, averaging 320c to 377c/kg for well-bred lines. Medium and heavy pens reached a top of 419c/kg, to average 357c to 389c/kg for the best-bred lots. Light weight yearling heifers averaged 252c to 281c/kg with sales reaching 320c/kg occasionally. Medium weight pens sold to 335c/kg with averages from 289c to 317c/kg attained.    

Feedlots paid to 420c/kg for their Grown steers, averaging 345c to 386c/kg for the best. A few bullocks sold to processors to average 310c to 327c/kg. The best of the trade heifers averaged 293c to 320c/kg. Feeders paid averages from 260c to 299c/kg for their grown heifers.

The best of the restocker cows made from 227c to 248c/kg, whilst, heavy, four score cows sold to 294c/kg, averaging 282c/kg. Heavy bulls averaged 281c/kg to Livex and 245c/kg to processors. Cows and calves held to sell from $1,160 to $1,500 per unit. 
Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,0-400,Restocker,D,2,37,-148,251.0,375.0,311.7027027027027,-17.0,482.7,721.2,599.4,702.8,1256.3,981.4756915118244
Grown Steer,400-500,Feeder,C,2,79,19,331.0,401.0,372.1392405063291,-1.7,636.5,771.2,715.7,1389.2,1895.3,1628.6912949960442
Grown Steer,400-500,Feeder,C,3,4,-5,345.0,345.0,345,13.0,650.9,650.9,650.9,1673.3,1673.3,1673.25
Grown Steer,400-500,Feeder,D,2,89,-11,281.0,420.0,362.08988764044943,59.2,540.4,807.7,696.3,1264.5,1768.2,1566.3134655898875
Grown Steer,400-500,Processor,C,2,2,NQ,271.0,271.0,271,NQ,521.2,521.2,521.2,1205.9,1205.9,1205.949951171875
Grown Steer,400-500,Processor,C,3,6,-1,345.0,345.0,345,28.0,650.9,650.9,650.9,1604.3,1604.3,1604.25
Grown Steer,600-750,Processor,C,3,6,-15,310.0,310.0,310,-16.9,584.9,584.9,584.9,2030.5,2030.5,2030.5
Grown Steer,600-750,Processor,C,4,2,-16,327.0,327.0,327,3.2,605.6,628.8,617.2,1978.3,2387.1,2182.7250366210938
Grown Steer,750+,Processor,C,3,1,NQ,275.0,275.0,275,NQ,509.3,509.3,509.3,2090.0,2090.0,2090
Grown Heifer,0-540,Feeder,C,2,101,93,255.0,335.0,299.03960396039605,4.4,490.4,644.2,575.1,879.8,1457.3,1135.4777179378093
Grown Heifer,0-540,Feeder,C,3,13,-7,288.0,325.0,306.7692307692308,-23.2,543.4,613.2,578.8,1259.6,1425.6,1340.7884521484375
