Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 25/03/2025
Comparison Date: 18/03/2025
Total Yarding: 2788 (-254)
Commentary
"There were approximately 2440 export and 350 young cattle penned representing a decrease of 250 head week-on-week. The usual buying group was present and operating in a dearer market. Quality declined with more secondary cattle and a large proportion of cows. Young cattle lifted up to 30c/kg with processors competing for finished lots and feedlots and graziers working to secure suitable lines. Grown steers to feed lifted 10c/kg while bullocks lifted 4c/kg. Manufacturing steers sold firm to 7c/kg dearer. Cows lifted 5c to 15c/kg. Heavy bulls held firm. 

Vealers sold from 300c to 388c/kg. Yearling trade steers made between 336c and 422c/kg. Yearling heifers to the trade sold between 330c and 388c/kg. Grown steers made from 350c to 404c/kg. Bullocks sold from 372c to 418c/kg. 

Heavy Friesian manufacturing steers made between 268c and 356c with the crossbred portion between 311c and 385c/kg. Most light and medium weight cows sold between 202c and 275c/kg. Heavy weight cows made mostly from 237c to 342c/kg. Heavy bulls sold from 302c to 344c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,330+,Processor,D,3,4,-8,330.0,350.0,340,19.0,611.1,648.1,629.6,1155.0,1260.0,1207.5
Manufacturing Steer,540+,Dairy,D,1,58,39,268.0,298.0,283.7931034482759,-3.0,558.3,604.2,584.8,1667.5,2011.5,1898.2844827586207
Manufacturing Steer,540+,Dairy,D,2,99,6,300.0,356.0,324.6161616161616,6.9,576.9,671.7,621.6,1920.0,2518.8,2203.037878787879
Manufacturing Steer,540+,Dairy,D,3,18,9,282.0,300.0,294.1111111111111,7.1,542.3,576.9,565.6,1950.0,2286.3,2120.222222222222
Manufacturing Steer,540+,Processor,C,2,1,-2,350.0,350.0,350,-5.0,648.1,648.1,648.1,2012.5,2012.5,2012.5
Manufacturing Steer,540+,Processor,D,1,8,2,290.0,290.0,290,-8.0,580.0,580.0,580.0,1667.5,1667.5,1667.5
Manufacturing Steer,540+,Processor,D,2,124,39,311.0,355.0,337.69354838709677,-3.2,586.8,673.1,644.0,1765.5,2550.0,2174.7096774193546
Manufacturing Steer,540+,Processor,D,3,118,40,340.0,385.0,362.8813559322034,0.6,638.9,713.0,672.3,1983.8,2983.8,2526.26906779661
Manufacturing Steer,540+,Processor,D,4,2,-5,340.0,340.0,340,28.0,629.6,629.6,629.6,2720.0,2720.0,2720
Manufacturing Steer,540+,Restocker,D,2,4,-4,320.0,340.0,325,27.0,615.4,641.5,621.9,1840.0,1955.0,1868.75
Grown Steer,500-600,Feeder,C,2,55,-4,350.0,404.0,388.09090909090907,11.8,648.1,748.1,718.7,1925.0,2424.0,2302.909090909091
Grown Steer,500-600,Processor,C,2,2,-19,372.0,375.0,373.5,24.5,688.9,694.4,691.7,2139.0,2156.3,2147.625
Grown Steer,500-600,Processor,C,3,11,1,390.0,398.0,392.90909090909093,2.9,709.1,723.6,714.4,2340.0,2388.0,2357.4545454545455
Grown Steer,600-750,Feeder,C,2,27,-12,372.0,394.0,390.962962962963,1.8,688.9,729.6,724.0,2418.0,2462.5,2446.962962962963
Grown Steer,600-750,Processor,B,2,10,7,360.0,365.0,364,-1.0,642.9,651.8,650.0,2372.5,2430.0,2384
Grown Steer,600-750,Processor,C,2,11,NQ,382.0,382.0,382,NQ,707.4,707.4,707.4,2444.8,2444.8,2444.8000710227275
Grown Steer,600-750,Processor,C,3,1,NQ,375.0,375.0,375,NQ,669.6,669.6,669.6,2625.0,2625.0,2625
Grown Steer,600-750,Processor,C,4,76,-32,392.0,418.0,406.0263157894737,4.4,705.4,754.5,734.7,2548.0,2800.0,2667.9210526315787
Grown Steer,600-750,Processor,D,3,8,NQ,405.0,405.0,405,NQ,750.0,750.0,750.0,2632.5,2632.5,2632.5
Grown Steer,750+,Processor,C,4,6,NC,385.0,385.0,385,-8.3,687.5,687.5,687.5,3080.0,3080.0,3080
Grown Heifer,0-540,Dairy,D,1,4,-12,230.0,230.0,230,-2.5,511.1,511.1,511.1,1092.5,1092.5,1092.5
Grown Heifer,0-540,Processor,D,2,6,-1,270.0,270.0,270,-48.0,562.5,562.5,562.5,1215.0,1282.5,1271.25
Grown Heifer,0-540,Processor,D,3,6,2,360.0,360.0,360,22.5,666.7,666.7,666.7,1944.0,1944.0,1944
Grown Heifer,0-540,Processor,D,4,1,NQ,315.0,315.0,315,NQ,630.0,630.0,630.0,1701.0,1701.0,1701
Grown Heifer,0-540,Restocker,D,2,1,-2,300.0,300.0,300,19.3,612.2,612.2,612.2,1500.0,1500.0,1500
Grown Heifer,540+,Dairy,D,2,13,NQ,280.0,280.0,280,NQ,583.3,583.3,583.3,1568.0,1568.0,1568
Grown Heifer,540+,Processor,C,3,2,1,368.0,370.0,369,14.0,657.1,672.7,664.9,2024.0,2072.0,2048
Grown Heifer,540+,Processor,D,2,11,7,280.0,315.0,300.8181818181818,-3.2,583.3,630.0,608.0,1540.0,1811.3,1690.2954545454545
Grown Heifer,540+,Processor,D,3,15,-69,330.0,378.0,351.3333333333333,3.5,629.6,700.0,657.1,1815.0,2380.0,2181.626643880208
Grown Heifer,540+,Processor,D,4,8,-5,305.0,325.0,317,-8.8,610.0,625.0,621.5,1677.5,2275.0,1844.4375
Grown Heifer,540+,Restocker,D,2,1,NQ,286.0,286.0,286,NQ,572.0,572.0,572.0,1573.0,1573.0,1573
Cows,0-400,Dairy,E,1,15,-25,192.0,192.0,192,45.1,480.0,480.0,480.0,768.0,768.0,768
Cows,0-400,Restocker,E,1,24,-47,155.0,262.0,208.5,62.7,387.5,623.8,505.7,581.3,1048.0,814.625
Cows,400-520,Dairy,E,1,66,-57,202.0,232.0,219.78787878787878,15.8,505.0,552.4,530.6,858.5,1160.0,1012.780303030303
Cows,400-520,Dairy,E,2,2,-8,240.0,264.0,252,15.8,533.3,586.7,560.0,1200.0,1320.0,1260
Cows,400-520,Processor,D,1,14,-74,240.0,260.0,251.42857142857142,-8.0,533.3,577.8,558.7,1080.0,1300.0,1214.2857142857142
Cows,400-520,Processor,D,2,52,49,253.0,275.0,264.46153846153845,-34.2,538.3,583.0,561.7,1096.5,1393.6,1269.5692232572114
Cows,400-520,Processor,D,4,7,NQ,288.0,288.0,288,NQ,576.0,576.0,576.0,1440.0,1440.0,1440
Cows,400-520,Processor,E,1,14,-47,215.0,238.0,226.5,8.9,511.9,566.7,539.3,913.8,1130.5,1022.125
Cows,400-520,Restocker,D,2,1,-5,320.0,320.0,320,60.0,666.7,666.7,666.7,1600.0,1600.0,1600
Cows,520+,Dairy,D,1,110,3,237.0,266.0,254.6,1.5,526.7,578.3,556.3,1303.5,1768.5,1541.4295454545454
Cows,520+,Dairy,D,2,29,-57,271.0,285.0,279.0689655172414,-6.0,564.6,593.8,586.1,1897.0,2137.5,2012.448275862069
Cows,520+,Dairy,E,1,60,-39,237.0,248.0,243.96666666666667,13.9,556.8,564.3,562.2,1303.5,1408.8,1363.1600260416667
Cows,520+,Dairy,E,2,12,NQ,263.0,263.0,263,NQ,559.6,559.6,559.6,1512.3,1512.3,1512.25
Cows,520+,Processor,C,3,2,NQ,334.0,334.0,334,NQ,642.3,642.3,642.3,2254.5,2254.5,2254.5
Cows,520+,Processor,C,4,1,NQ,330.0,330.0,330,NQ,589.3,589.3,589.3,2310.0,2310.0,2310
Cows,520+,Processor,D,1,9,-59,240.0,266.0,263.1111111111111,-5.4,521.7,591.1,583.4,1320.0,1463.0,1447.111111111111
Cows,520+,Processor,D,2,71,-89,282.0,300.0,292.6901408450704,17.2,587.5,614.6,607.4,1560.6,1923.8,1677.015497771787
