Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 29/04/2024
Comparison Date: 22/04/2024
Total Yarding: 1975 (+430)
Commentary
"There was an increase in supply despite the cow numbers falling by half. Young cattle were well supplied however there was a limited supply of well finished grown steers and heifers. The quality of the offering was quite mixed with condition also varying. The majority of the buyers were in attendance with some commission orders absent.

There were varying trends through the young cattle with the lighter end of the weaner steers to restock selling to cheaper trends. The heavier weights over 280kg sold to dearer trends to show strong gains in places. There was little change in the weaner heifers to restock. Secondary quality yearling steers to restock and feed sold to cheaper trends while the higher quality lines saw a firm to dearer trend with improvements of as much as 10c/kg on the heavy weights. Quality accounted for price change in some classes. Medium and heavy weight yearling heifers sold to dearer trends despite reduced competition. The keenly sought lines saw improvements of 15c to 30c on some of the breed specific sales. Well finished heavy trade cattle sold to dearer trends on a limited supply.

There were too few heavy grown steers to quote. Well finished grown heifers to process sold to dearer trends, the lack of heavy steers contributing. There was little but quality related price change in the cow market with restockers active on the plainer condition lines."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Restocker,D,3,8,-16,185.0,186.0,185.25,-9.8,393.6,395.7,394.1,897.3,930.0,905.4375
Cows,520+,Processor,C,3,1,NQ,219.0,219.0,219,NQ,438.0,438.0,438.0,1248.3,1248.3,1248.300048828125
Cows,520+,Processor,D,3,23,-44,179.0,208.0,196.52173913043478,-0.5,380.9,433.3,411.5,948.7,1127.5,1059.430419921875
Cows,520+,Processor,D,4,102,7,192.0,211.0,201.99019607843138,-4.2,400.0,433.3,418.4,1080.8,1434.8,1189.3000057444854
Cows,520+,Processor,D,5,22,18,178.0,205.0,182.9090909090909,-0.8,370.8,410.0,379.5,1121.4,1291.5,1195.7000177556818
Cows,520+,Restocker,D,3,8,-16,192.0,192.0,192,8.5,400.0,400.0,400.0,1152.0,1152.0,1152
Bulls,450-600,Processor,C,2,1,NQ,200.0,200.0,200,NQ,370.4,370.4,370.4,940.0,940.0,940
Bulls,450-600,Processor,D,2,1,NQ,192.0,192.0,192,NQ,369.2,369.2,369.2,1094.4,1094.4,1094.4000244140625
Bulls,600+,Processor,B,2,3,-6,206.0,222.0,215,-35.0,367.9,396.4,383.9,1709.8,1953.6,1792.5666910807292
Bulls,600+,Processor,C,2,10,3,182.0,220.0,203.1,-5.8,337.0,407.4,374.8,1146.6,1763.0,1496.9
Bulls,600+,Processor,D,2,5,3,153.0,171.0,164.8,-11.2,294.2,328.8,316.9,1139.0,1326.0,1237.5
