Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 13/06/2024
Comparison Date: 30/05/2024
Total Yarding: 5148 (-626)
Commentary
"With the inclusion of the Santa and Santa Infused Feature Sale Blackall Agents yarded 5,148 head of quality well bred cattle. All the regular feedlotters and backgrounders present with an extra processor in the export market. The market was firm to slightly dearer for the quality pens however secondary cattle struggled.

Light weight yearling steers sold from 188c to 370c/kg. Yearling steers 200 to 280kg improved almost 20c/kg and made to 382c/kg. Yearling steers 280 to 330kg also gained and sold to 368c/kg. Yearling steers 330 to 400kg with the majority selling from 160c to 332c/kg. Yearling steers 400 to 480kg topped 334c and averaged 314c and over 480kg made to 252c/kg.

Light weight yearling heifers under 200kg sold to 264c/kg. Yearling heifers 200 to 280kg improved and sold from 204c to 312c/kg. Yearling heifers 280 to 330kg sold to 276c/kg. Yearling heifers 330 to 400kg to feed made to 272c/kg. Yearling heifers 400 to 480kg also to feed made to 252c with heifers over 480kg selling to 240c/kg.

Grown steers 500 to 600kg made from 220c to 246c to processors and 304c/kg to feed. Grown steers over 600kg made to 246c/kg. Grown heifers over 540kg topped 230c/kg with the majority selling from 195c to 206c/kg.

The 2 score cows selling from 100c to 198c/kg. The 3 score cows topped 220c/kg. Bulls under 450kg sold from 220c to 318c/kg. Bulls 450 to 600kg made to 214c and bulls over 600kg made to 234c/kg.

Market Reporter David Friend"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Processor,D,1,27,NQ,100.2,128.2,106.59258694118924,NQ,204.5,261.6,217.5,450.9,615.4,509.41112829137734
Cows,400-520,Processor,D,2,261,243,100.2,198.2,172.8114918091288,13.6,204.5,404.5,350.6,450.9,1014.0,869.6564479550183
Cows,400-520,Processor,D,3,45,NQ,205.0,220.0,207.49332953559028,NQ,418.4,449.0,423.5,1031.0,1144.0,1056.7573350694445
Cows,400-520,Processor,E,1,2,NQ,60.0,60.0,60,NQ,122.4,122.4,122.4,288.0,312.0,300
Cows,400-520,Restocker,D,2,26,NQ,140.0,155.0,153.84615384615384,NQ,285.7,310.0,308.1,728.0,775.0,771.3846153846154
Cows,520+,Processor,C,2,1,NQ,172.2,172.2,172.1999969482422,NQ,351.4,351.4,351.4,912.7,912.7,912.6599731445312
Cows,520+,Processor,D,2,51,-16,160.2,198.0,183.05882263183594,-1.9,326.9,404.1,373.6,858.6,1198.5,1008.3817976409314
Cows,520+,Processor,D,3,385,341,182.0,215.5,205.0997359634994,-3.0,343.4,439.8,415.8,976.3,1479.2,1185.7664818701805
Bulls,0-450,Feeder,C,3,9,NQ,223.2,223.2,223.19999186197916,NQ,421.1,421.1,421.1,1004.4,1004.4,1004.4000651041666
Bulls,0-450,Restocker,C,2,83,-113,220.2,318.2,285.86265582348926,24.4,415.5,600.4,539.4,484.4,827.1,781.6763886601092
Bulls,450-600,Feeder,C,3,1,-5,214.2,214.2,214.1999969482422,126.7,404.2,404.2,404.2,1028.2,1028.2,1028.1600341796875
Bulls,450-600,Processor,C,2,2,NQ,204.2,204.2,204.1999969482422,NQ,385.3,385.3,385.3,1225.2,1225.2,1225.199951171875
Bulls,450-600,Processor,C,3,4,NQ,190.0,214.2,201.04999923706055,NQ,358.5,404.2,379.3,1028.2,1050.0,1042.0400085449219
Bulls,600+,Processor,C,2,3,-7,70.0,210.0,163.33333333333334,-36.2,132.1,396.2,308.2,770.0,1365.0,1166.6666666666667
Bulls,600+,Processor,C,3,32,24,100.0,234.2,200.69999742507935,0.1,188.7,441.9,378.7,1010.0,2530.0,2131.2822246551514
