Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 01/05/2024
Comparison Date: 24/04/2024
Total Yarding: 1768 (-1383)
Commentary
"Charters Towers Combined Agents penned 1768 cattle in a prime only sale, the largest prime offering in more than 18 months.  Quality was mostly good throughout, with several good quality heavy cattle on offer, with more than 300 bullocks and 1,100 cows penned. Processor attendance was good with all regular export processors in attendance, supported by one southern operator for the first time this year, along with one live exporter and one local feeder operator and opportunity restockers.
 
Values for most categories were firm on last week, despite the increased supply, however plainer conditioned lines of cows eased 14c to 20c while prime heavyweight cows lifted by 4c/kg.

Yearling steers above 400kg to feed destined for live export sold to 256c to average 237c, steers to the trade sold to and averaged 240c/kg. Yearling heifers above 400kg to the trade made to 230c to average 227c/kg. A small sample of heavy grown steers to the trade averaged 262c/kg. Grown heifers to processors reached 234c to average from 200c to 228c/kg.

An increased number of heavy full mouthed bullocks to export slaughter topped at 264c to average from 242c to 263c/kg. Medium weight 2 score cows to processors reached 160c to average 15 5c and 3 scores sold to 225c to average from 192c to 199c/kg.  A large sample of prime heavyweight 3 and 4 score cows topped at 224c to average 214c to 221c/kg.

Heavy bulls to feed destined for live export sold to 242c to average 232c, bulls to processors averaged 214c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Bulls,450-600,Feeder,D,3,15,12,150.0,228.0,199.86666666666667,-57.5,283.0,430.2,377.1,877.5,1197.0,995.0600016276042
Bulls,450-600,Processor,C,2,7,NQ,228.0,228.0,228,NQ,430.2,430.2,430.2,1333.8,1333.8,1333.800083705357
Bulls,450-600,Processor,C,3,1,NQ,218.0,218.0,218,NQ,396.4,396.4,396.4,1068.2,1068.2,1068.199951171875
Bulls,450-600,Processor,D,2,4,NQ,150.0,210.0,185,NQ,288.5,403.8,355.8,712.5,987.0,901.125
Bulls,450-600,Processor,D,3,16,NQ,170.0,226.0,205.25,NQ,320.8,426.4,387.3,918.0,1265.6,1170.6499938964844
Bulls,450-600,Processor,E,2,1,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,727.5,727.5,727.5
Bulls,450-600,Restocker,D,2,1,NQ,236.0,236.0,236,NQ,453.8,453.8,453.8,1203.6,1203.6,1203.5999755859375
Bulls,600+,Feeder,C,2,2,NQ,190.0,228.0,209,NQ,365.4,430.2,397.8,1178.0,2006.4,1592.2000122070312
Bulls,600+,Feeder,C,3,5,4,232.0,242.0,234,-6.0,421.8,448.1,427.1,1476.2,1531.2,1520.199951171875
Bulls,600+,Feeder,D,3,1,NQ,236.0,236.0,236,NQ,453.8,453.8,453.8,1486.8,1486.8,1486.800048828125
Bulls,600+,Feeder,E,2,1,NQ,180.0,180.0,180,NQ,339.6,339.6,339.6,1332.0,1332.0,1332
Bulls,600+,Processor,C,3,1,-1,210.0,210.0,210,15.0,375.0,375.0,375.0,1869.0,1869.0,1869
Bulls,600+,Processor,D,2,4,NQ,217.0,217.0,217,NQ,417.3,417.3,417.3,1345.4,1345.4,1345.4000244140625
Bulls,600+,Processor,D,3,5,NQ,170.0,232.0,214.8,NQ,320.8,429.6,399.0,1088.0,1496.0,1409.92001953125
