Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Naracoorte
Report Date: 15/04/2025
Comparison Date: 08/04/2025
Total Yarding: 613 (-308)
Commentary
"Cattle numbers were back this week with 613 head penned, made up of 368 young cattle, 219 cows, 22 grown bulls and a few pens of open auction young cattle. The quality was mixed with cows making up a third of the offering. Most of the regular buying group attended and operated in a market similar to last week. A few cents dearer on medium weight grown steers, to 10c/kg easier on heavy grown heifers, 10c to 20c/kg easier on yearling trade heifers and similar on the cows. Bulls sold 8c to 10c/kg dearer. 

Young cattle sold to the trade from 236 to 380c and feeders paid from 232c to 380c/kg. Plainer types sold from 180c to 190c/kg. 

Medium grown steers sold from 348c to 410c, with heavier weights selling from 303 to 374c/kg. Feeders paid from 266c to 380c/kg. Heavy weight heifers sold from 320c to 380c with feeders and restockers paying from 272c to 364c/kg. 

Medium weight cows sold from 180c to 210c. Heavy 3 and 4 score cows sold from 300c to 335c, with the plainer types selling from 265c to 288c/kg. Feeders paid 180c/kg for cows. Bulls sold from 200c to 320c, feeders paid from 210c to 310c/kg for young bulls. 


Market Reporter - Graham Pymer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,520+,Processor,C,3,44,-179,300.0,322.0,309.1363636363636,-7.4,576.9,619.2,594.5,1848.0,2173.5,1948.8522727272727
Cows,520+,Processor,C,4,70,NQ,320.0,335.0,325,NQ,615.4,644.2,625.0,1984.0,2512.5,2128.477852957589
Cows,520+,Processor,D,1,1,NQ,125.0,125.0,125,NQ,271.7,271.7,271.7,656.3,656.3,656.25
Cows,520+,Processor,D,2,21,1,180.0,270.0,239.04761904761904,-31.7,360.0,541.7,485.7,1035.0,1579.5,1352.047619047619
Cows,520+,Processor,D,3,22,NQ,312.0,320.0,315.6363636363636,NQ,600.0,615.4,607.0,1856.4,2160.0,2072.40000221946
Bulls,0-450,Feeder,C,1,1,NQ,210.0,210.0,210,NQ,396.2,396.2,396.2,840.0,840.0,840
Bulls,0-450,Feeder,C,2,19,NQ,210.0,310.0,293.57894736842104,NQ,403.8,596.2,553.4,682.5,1335.0,1151.2368421052631
Bulls,450-600,Processor,C,1,1,NQ,165.0,165.0,165,NQ,317.3,317.3,317.3,948.8,948.8,948.75
Bulls,450-600,Processor,C,2,2,NQ,285.0,300.0,292.5,NQ,518.2,555.6,536.9,1353.8,1575.0,1464.375
Bulls,600+,Processor,B,2,8,NQ,200.0,320.0,286.25,NQ,363.6,571.4,515.4,1450.0,2400.0,2045.75
Bulls,600+,Processor,C,1,1,NQ,120.0,120.0,120,NQ,222.2,222.2,222.2,852.0,852.0,852
Bulls,600+,Processor,C,2,10,8,265.0,310.0,292,42.0,490.7,563.6,534.5,1709.3,2247.5,2032.2
