Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 01/04/2025
Comparison Date: 25/03/2025
Total Yarding: 2869 (+81)
Commentary
"There were approximately 2470 export and 400 young cattle penned representing an increase of 80 head week-on-week. All of the regular export and domestic orders were active and competing in a dearer market. Quality was mixed with plenty of manufacturing steers in the grown and more finish in the trade cattle. Most trade cattle sold 10c to 30c/kg dearer with some isolated sales even higher. Grown steers and bullocks gained 10c to 20c/kg. Heavy Grown heifers showing good finish improved 20c/kg. Manufacturing steers lifted 20c to 30c/kg. Cows kicked 20c to 30c and up to 45c/kg in places. Heavy bulls gained 5c/kg. 

Vealers sold from 340c to 434c/kg. Yearling trade steers made between 350c and 401c/kg. Yearling heifers to the trade sold between 348c and 398c after a top of 430c/kg. Grown steers made from 374c to 420c/kg. Bullocks sold from 385c to 425c/kg. Heavy grown heifers made between 355c and 392c/kg. 

Heavy Friesian manufacturing steers sold between 285c and 377c with the crossbred portion between 345c and 408c/kg. Most light and medium weight cows made from 246c to 314c/kg. Heavy weight cows sold mostly from 282c to 360c/kg. Heavy bulls made between 310c and 365c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,520+,Processor,C,2,9,NQ,348.0,348.0,348,NQ,696.0,696.0,696.0,2088.0,2088.0,2088
Cows,520+,Processor,C,3,35,33,342.0,376.0,359.9142857142857,25.9,671.4,692.3,681.9,2052.0,2541.0,2321.4
Cows,520+,Processor,D,1,35,26,285.0,294.0,291.1714285714286,28.1,619.6,639.1,629.1,1543.5,1638.8,1594.4357142857143
Cows,520+,Processor,D,2,121,50,292.0,328.0,310.1404958677686,17.5,621.3,670.8,648.2,1598.4,2002.0,1781.9661189307851
Cows,520+,Processor,D,3,86,16,315.0,362.0,339.74418604651163,29.7,642.9,700.0,681.2,1820.0,2275.0,2015.3383675508721
Cows,520+,Processor,D,4,100,-23,310.0,360.0,347.22,24.9,620.0,700.0,682.2,1782.5,2662.5,2230.79
Bulls,0-450,Dairy,D,1,18,NQ,256.0,284.0,271.55555555555554,NQ,556.5,591.7,576.0,972.8,1278.0,1142.3555501302083
Bulls,0-450,Dairy,D,2,2,NQ,266.0,312.0,289,NQ,554.2,624.0,589.1,997.5,1372.8,1185.1500244140625
Bulls,0-450,Processor,B,2,1,-1,324.0,324.0,324,-17.0,558.6,558.6,558.6,1053.0,1053.0,1053
Bulls,0-450,Processor,C,2,11,7,268.0,340.0,287.1818181818182,-1.8,496.3,618.2,530.8,950.4,1440.0,1097.3818581321023
Bulls,0-450,Restocker,C,2,8,6,286.0,290.0,289.5,-13.0,520.0,537.0,534.9,743.6,1087.5,1044.5124969482422
Bulls,0-450,Restocker,D,2,10,NQ,250.0,250.0,250,NQ,520.8,520.8,520.8,600.0,600.0,600
Bulls,450-600,Dairy,D,2,4,-1,310.0,324.0,317,9.8,620.0,654.2,640.5,1472.5,1920.0,1765.25
Bulls,450-600,Processor,B,2,1,-4,340.0,340.0,340,-3.8,586.2,586.2,586.2,2040.0,2040.0,2040
Bulls,450-600,Processor,C,2,6,-20,325.0,340.0,333.5,17.5,585.7,607.4,600.9,1558.0,2040.0,1918.5
Bulls,450-600,Processor,C,3,2,1,340.0,356.0,348,23.0,586.2,624.6,605.4,2040.0,2047.0,2043.5
Bulls,450-600,Processor,D,2,1,-3,276.0,276.0,276,-23.5,520.8,520.8,520.8,1311.0,1311.0,1311
Bulls,600+,Dairy,D,1,1,NQ,288.0,288.0,288,NQ,626.1,626.1,626.1,2016.0,2016.0,2016
Bulls,600+,Dairy,D,2,5,NC,310.0,330.0,318.4,8.0,596.2,647.1,624.6,2060.5,2635.0,2288.1
Bulls,600+,Processor,B,2,5,2,345.0,365.0,352.4,15.1,593.3,608.3,599.3,2415.0,2670.0,2572
Bulls,600+,Processor,C,1,2,NC,310.0,320.0,315,-1.5,584.9,592.6,588.7,2015.0,2400.0,2207.5
Bulls,600+,Processor,C,2,7,-19,320.0,340.0,327,2.1,571.4,607.1,582.5,2112.5,2805.0,2383.214285714286
Bulls,600+,Processor,C,3,8,-9,320.0,350.0,341,5.2,561.4,614.0,594.4,2240.0,3200.0,2693.875
Bulls,600+,Processor,C,4,1,NC,327.0,327.0,327,5.0,573.7,573.7,573.7,2779.5,2779.5,2779.5
