Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Warwick
Report Date: 28/01/2025
Comparison Date: 21/01/2025
Total Yarding: 1427 (-676)
Commentary
"Warwick agents penned 1,427 cattle down by 676 head. All the regular buyers attended and operated on a softer market across all classes with grown steers back 30c/kg cows eased from 4c to 14c/kg heavy feeder steers back by 33c/kg and domestic feeders reduced from 28c to 33c/kg with the better quality lines of restocker yearlings the least effected.

Light weight yearling steers to restockers made 399c to average 340c with those over 280kg at 400c to average 365c/kg. Yearling steers to feed for the domestic market made 376c with restockers paying 396c to average 374c/kg. Heavy yearling steers to feed sold to 350c and averaged from 335c to 338c/kg. Light weight yearling heifers to background made 320c to average 283c/kg. Yearling heifers to feed for the domestic market sold to 366c and averaged 320c/kg. Heavy yearling heifers to the wholesale meat trade made 382c to average 333c/kg.

Grown steers to processors made 345c to average 328c/kg. Grown heifers to processors sold to 336c/kg. Light weight cows to processors made 268c to average 239c/kg. Good heavy score 3 cows to processors sold to 287c with the best cows topping at 293c to average 285c/kg. Light weight bulls to restockers made 340c to average 308c/kg. Heavy bulls to processors made 297c to average 282c/kg.

Market Reporter Errol Luck."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,520+,Processor,C,2,1,NQ,240.0,240.0,240,NQ,480.0,480.0,480.0,1332.0,1332.0,1332
Cows,520+,Processor,D,2,47,6,233.0,268.0,260.3829787234043,2.8,466.0,536.0,520.8,1223.3,1476.3,1409.1829911901596
Cows,520+,Processor,D,3,52,-45,245.0,287.0,270.3076923076923,-12.3,490.0,574.0,540.6,1286.3,1678.9,1485.653803898738
Cows,520+,Processor,D,4,45,-78,276.0,293.0,285.02222222222224,-14.9,552.0,586.0,570.0,1496.3,2007.1,1669.2066596137154
Cows,520+,Processor,D,5,1,-3,240.0,240.0,240,-42.8,480.0,480.0,480.0,1332.0,1332.0,1332
Cows,520+,Restocker,D,2,2,NQ,248.0,248.0,248,NQ,496.0,496.0,496.0,1302.0,1302.0,1302
Bulls,0-450,Feeder,C,2,6,5,362.0,362.0,362,42.0,670.4,670.4,670.4,1031.7,1031.7,1031.699951171875
Bulls,0-450,Restocker,C,2,34,-14,270.0,340.0,308.2647058823529,-31.6,500.0,629.6,570.9,855.5,1351.5,1151.463228113511
Bulls,0-450,Restocker,D,2,4,-2,240.0,275.0,261,-10.0,444.4,509.3,483.3,708.0,811.3,769.9499969482422
Bulls,450-600,Processor,C,2,2,-1,279.0,283.0,281,-9.3,516.7,524.1,520.4,1548.4,1570.7,1559.5499877929688
Bulls,450-600,Processor,C,3,5,NC,256.0,274.0,264,-43.2,474.1,507.4,488.9,1420.8,1547.0,1453.12001953125
Bulls,450-600,Processor,D,2,2,NQ,180.0,198.0,189,NQ,333.3,366.7,350.0,1053.0,1079.1,1066.0499877929688
Bulls,450-600,Restocker,C,2,3,NC,258.0,258.0,258,-85.3,477.8,477.8,477.8,1328.7,1328.7,1328.699951171875
Bulls,450-600,Restocker,D,2,6,NQ,244.0,270.0,257,NQ,451.9,500.0,475.9,1110.2,1228.5,1169.3499755859375
Bulls,600+,Dairy,D,2,1,NQ,220.0,220.0,220,NQ,407.4,407.4,407.4,1375.0,1375.0,1375
Bulls,600+,Processor,C,2,3,NQ,245.0,245.0,245,NQ,453.7,453.7,453.7,1849.8,1849.8,1849.75
Bulls,600+,Processor,C,3,19,6,260.0,297.0,281.7368421052632,-25.2,481.5,550.0,521.7,1586.0,2376.0,2037.9815673828125
