Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 05/02/2025
Comparison Date: 29/01/2025
Total Yarding: 1248 (-2051)
Commentary
"Numbers at CQLX Gracemere Sale decreased following useful falls of rain in some coastal areas with 1248 head penned - some 2051 less than last week. Most cattle came from local areas to the west and coastal districts south to Miriamvale and included a draft from one recently sold property. Quality and condition varied as did the prices realised, however well presented lines sold at, or above last sale rates, despite some regular buyers not operating.

Light weight yearling steers sold to 445c/kg with well-bred pens averaging 408c/kg. Medium weight pens topped at 437c/kg to return averages from 367c to 428c/kg. Light weight yearling heifers averaged 237c to 321c/kg with the best making 355c/kg. Medium weight lines topped at 341c/kg, averaging 280c to 289c/kg for best-bred pens.

A few grown steers to processors sold from 314c to 349c/kg, whilst feeder weight pens. made from 325c to 354c/kg average. Trade weight grown heifers, well finished rose to a top price of 331c/kg, averaging 297c to 315c/kg.         

Processor cows made to 297c/kg, averaging 285c to 288c/kg - an improvement of 14 to 19c/kg on last sale. Heavy bulls to livex averaged 229c to 235c/kg. Cows and calves made $1,200 to $1,820 per unit.  Reporter: Richard Thomson"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Restocker,D,2,4,-64,269.0,269.0,269,12.1,517.3,517.3,517.3,1049.1,1049.1,1049.0999755859375
Grown Heifer,0-540,Restocker,E,2,3,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,972.0,972.0,972
Cows,0-400,Processor,D,1,3,NQ,203.0,203.0,203,NQ,483.3,483.3,483.3,771.4,771.4,771.4000651041666
Cows,0-400,Processor,D,2,4,2,207.0,227.0,222,-8.0,470.5,504.4,495.9,765.9,851.3,829.9125061035156
Cows,0-400,Restocker,D,2,6,-4,201.0,241.0,234.33333333333334,12.5,386.5,535.6,510.7,743.7,915.8,887.1166687011719
Cows,400-520,Processor,D,1,1,NQ,231.0,231.0,231,NQ,550.0,550.0,550.0,935.5,935.5,935.5499877929688
Cows,400-520,Processor,D,2,23,-15,217.0,275.0,260.95652173913044,24.1,471.7,597.8,565.7,878.8,1297.8,1177.8173721976902
Cows,400-520,Processor,D,3,38,-2,251.0,273.0,264.2631578947368,4.0,522.9,580.9,554.6,1117.9,1305.6,1224.8289345189144
Cows,400-520,Processor,D,4,34,27,263.0,292.0,285.0882352941176,31.2,526.0,715.0,591.5,1354.4,1518.4,1460.2044462316176
Cows,400-520,PTIC,D,4,6,NQ,275.0,275.0,275,NQ,550.0,550.0,550.0,1265.0,1265.0,1265
Cows,400-520,Restocker,D,2,8,-112,255.0,255.0,255,18.5,566.7,566.7,566.7,1083.8,1083.8,1083.75
Cows,400-520,Restocker,E,2,5,3,253.0,253.0,253,18.0,575.0,575.0,575.0,1037.3,1037.3,1037.3
Cows,520+,Processor,C,3,12,NQ,297.0,297.0,297,NQ,571.2,571.2,571.2,1737.4,1737.4,1737.4498697916667
Cows,520+,Processor,D,3,8,4,270.0,270.0,270,9.0,529.4,529.4,529.4,1444.5,1444.5,1444.5
