Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 06/01/2025
Comparison Date: 16/12/2024
Total Yarding: 624 (-598)
Commentary
"The first sale for 2025 presented light supplies made up mostly of mixed quality local cattle and very few pastoral stocks.  Local cattle showing good fat cover and weight along with a breeding component were sought after by the reasonably full buying gallery however store cattle lacking condition or breeding or both were difficult to sell.
Vealer steers in store condition or with smaller frames were selling cheap from 80c to 192c however with more weight and better breeding rates improved dramatically to sell from 242c up to 336c/kg. It was a similar story with vealer heifers lacking weight, size or condition ranging from 40c to 158c and with weight and frame sold from 220c to 262c/kg. Store yearling steers again showing poor breeding or condition sold from 50c to 200c and with more weight and fat cover returned 220c to 366c/kg. Lighter yearling heifers sold from 78c to 190c while better heifers sold to a top of 282c/kg.
Grown steers sold well returning 248c to 310c while grown heifers also held firm making 218c to 258c/kg.  Light framed plain cows struggled to attract bids starting from 20c to 100c while bigger framed store condition cows ranged from 132c to 188c and medium to prime cows sold from 192c to 236c/kg. 
Bulls returning to the paddock sold from 50c to 150c while shipping bulls made 180c to 304c and slaughter bulls returned 162c to 216c/kg.
Terry Birkin MLA."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Bulls,0-450,Restocker,C,2,11,8,50.0,150.0,97.81818181818181,-2.2,96.2,283.0,187.4,98.4,309.0,195.85818134654653
Bulls,0-450,Restocker,D,2,4,-1,50.0,120.0,83,33.0,100.0,226.4,161.1,84.0,295.2,179.92000198364258
Bulls,0-450,Restocker,D,3,1,NC,148.0,148.0,148,-2.0,284.6,284.6,284.6,494.3,494.3,494.32000732421875
Bulls,450-600,Live Export,C,3,8,5,200.0,210.0,207.5,6.2,363.6,381.8,377.3,928.0,1243.2,1188.3999633789062
Bulls,450-600,Live Export,D,2,1,NQ,184.0,184.0,184,NQ,353.8,353.8,353.8,905.3,905.3,905.280029296875
Bulls,450-600,Processor,C,2,1,NQ,190.0,190.0,190,NQ,358.5,358.5,358.5,1052.6,1052.6,1052.5999755859375
Bulls,450-600,Processor,C,3,3,NC,180.0,202.0,194.66666666666666,22.7,327.3,367.3,353.9,1047.6,1183.7,1095.2532958984375
Bulls,450-600,Processor,D,2,1,NC,162.0,162.0,162,12.0,311.5,311.5,311.5,780.8,780.8,780.8400268554688
Bulls,600+,Live Export,C,3,3,-1,216.0,216.0,216,16.5,392.7,392.7,392.7,1315.4,1315.4,1315.43994140625
Bulls,600+,Processor,C,3,7,-8,150.0,216.0,199.71428571428572,5.0,272.7,392.7,363.1,1314.0,2011.7,1494.5771484375
