Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Echuca
Report Date: 06/11/2024
Comparison Date: 23/10/2024
Total Yarding: 1850 (+110)
Commentary
"Numbers remained high with another 1850 cattle filling the yards to near capacity. There was some stand-out trade steers and heifers of a higher standard than a fortnight ago, while the export run included the usual mix of cows, manufacturing and grown steers. Demand from domestic processors was more energetic, and helped by some outstanding quality, prices averaged dearer after reaching a top of 411c/kg. The main grades of heavy beef cows sold at modestly dearer levels by 3-10c/kg. But there was still some dull spots in the sale, with grown steers, grown heifers and any secondary bred or shaped cattle averaging cheaper compared to the last market at Echuca on October 23.

Competition was keener on good trade cattle, with the lead run mostly in the range of 350c to 380c/kg but with some exceptional Limousin steers and heifers offering high carcass yields pushing above 390c to a top of 411c/kg. The best run of yearling steers in the 400-480kg weight range averaged 365c/kg. Buyers did tend to be weight sensitive and bidding wasn’t as strong on cattle weighing over 520kg. Well bred yearlings and vealers with not quite as much carcass potential or finish from 310c to 345c/kg, with restockers and feeders operating in this price band. Young cattle which sold under 300c/kg tended to be lighter or lack breed quality at 240c to 290c/kg.

The best heavy grown steers were similar to 9c/kg off on some of the bigger types at 320c to 355.6c/kg.  Grown heifers performed around quality at 260 to 320c/kg for most - but noting buyers were selective on plainer shaped grassy types or young females showing signs of being in calf which were discounted down to 240c/kg. 

The cow marked showed consistency at 270c to 290c/kg for most of the lead beef pens, with just occasional sales higher to 306c/kg.  Leaner beef cows 240c to 280c/kg; plainest cows down to 168.6c.

Market reporter: Jenny Kelly"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Processor,D,3,12,11,305.0,340.0,322.9166666666667,4.9,564.8,629.6,598.0,1751.0,1939.1,1824.0007934570312
Grown Steer,500-600,Restocker,C,2,12,10,338.6,338.6,338.6000162760417,23.3,638.9,638.9,638.9,1970.7,1970.7,1970.6520182291667
Grown Steer,600-750,Processor,C,3,27,-24,310.0,355.6,331.688889114945,-9.6,574.1,635.0,605.3,1937.5,2311.4,2091.5037434895835
Grown Steer,600-750,Processor,C,4,1,-18,340.0,340.0,340,-3.4,618.2,618.2,618.2,2108.0,2108.0,2108
Grown Heifer,0-540,Processor,C,3,2,-6,310.0,315.0,312.5,2.5,574.1,583.3,578.7,1519.0,1669.5,1594.25
Grown Heifer,0-540,Processor,D,2,11,8,250.0,292.6,281.89091352982956,26.6,480.8,562.7,542.1,884.8,1565.4,1407.3163840553977
Grown Heifer,0-540,Processor,D,3,63,18,240.0,315.0,272.57142663380455,-22.5,461.5,594.3,520.4,893.5,1583.6,1193.8868350074404
Grown Heifer,0-540,Processor,D,4,6,-7,322.0,322.0,322,4.6,596.3,596.3,596.3,1674.4,1674.4,1674.4000651041667
Grown Heifer,0-540,Processor,E,3,1,NQ,266.0,266.0,266,NQ,511.5,511.5,511.5,1236.9,1236.9,1236.9000244140625
Grown Heifer,0-540,Restocker,B,2,1,NQ,204.6,204.6,204.60000610351562,NQ,409.2,409.2,409.2,910.5,910.5,910.469970703125
Grown Heifer,0-540,Restocker,D,2,9,5,241.6,290.0,270.35555691189234,2.9,473.7,568.6,531.2,913.5,1112.5,947.4422200520834
Grown Heifer,0-540,Restocker,D,3,6,5,296.6,315.0,299.6666666666667,-0.3,570.4,594.3,574.4,1394.0,1590.8,1426.808349609375
Grown Heifer,540+,Dairy,D,3,1,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1568.0,1568.0,1568
Grown Heifer,540+,Processor,C,3,4,NC,312.0,328.0,320,-24.1,577.8,607.4,592.6,1850.2,2033.6,1941.8800048828125
Grown Heifer,540+,Processor,C,4,5,-8,328.0,328.0,328,-9.1,607.4,607.4,607.4,1902.4,1902.4,1902.4
Grown Heifer,540+,Processor,D,3,31,24,264.2,310.0,285.0580660912298,12.2,498.5,584.9,538.1,1437.2,1798.0,1606.371125252016
Grown Heifer,540+,Processor,D,4,6,-2,294.0,305.0,297.6666666666667,-28.3,554.7,575.5,561.6,1608.2,1790.3,1668.9033610026042
Cows,400-520,Dairy,D,2,6,NQ,240.0,240.0,240,NQ,500.0,500.0,500.0,1200.0,1200.0,1200
Cows,400-520,Dairy,E,1,1,NQ,198.6,198.6,198.60000610351562,NQ,451.4,451.4,451.4,913.6,913.6,913.5599975585938
Cows,400-520,Dairy,E,2,8,NQ,222.0,222.0,222,NQ,493.3,493.3,493.3,1154.4,1154.4,1154.4000244140625
Cows,400-520,Processor,D,2,14,10,168.6,248.0,238.84285845075334,13.0,337.2,479.2,468.1,843.0,1289.6,1155.9171491350446
Cows,400-520,Processor,D,3,7,NQ,248.0,270.0,260.57142857142856,NQ,476.9,519.2,501.1,1289.6,1323.0,1308.6856863839287
Cows,400-520,Processor,E,2,12,NQ,240.6,240.6,240.60001627604166,NQ,501.3,501.3,501.3,1178.9,1178.9,1178.93994140625
Cows,400-520,Restocker,D,1,13,NQ,236.2,236.2,236.19998873197116,NQ,472.4,472.4,472.4,1204.6,1204.6,1204.6199669471155
Cows,520+,Dairy,D,1,5,NC,218.2,218.2,218.2,-19.8,484.9,484.9,484.9,1243.7,1243.7,1243.7400390625
Cows,520+,Dairy,D,2,13,6,254.0,260.0,254.92307692307693,12.3,540.4,541.7,540.6,1511.3,1586.0,1522.7923677884614
Cows,520+,Dairy,D,3,2,-26,250.0,250.0,250,-20.1,500.0,500.0,500.0,1700.0,1700.0,1700
Cows,520+,Processor,D,2,31,-4,250.0,287.6,266.03871597782256,9.8,480.8,553.1,516.5,1360.8,1696.8,1537.5638782132057
Cows,520+,Processor,D,3,32,-81,255.0,287.6,274.96875,-3.9,500.0,542.6,526.9,1463.7,1984.4,1792.5843505859375
Cows,520+,Processor,D,4,61,-9,282.2,306.0,295.16393542680584,8.1,532.5,566.7,554.8,1749.9,2264.4,2049.323802510246
Cows,520+,Restocker,D,3,1,NQ,290.0,290.0,290,NQ,547.2,547.2,547.2,1914.0,1914.0,1914
Bulls,0-450,Processor,B,2,1,NQ,320.0,320.0,320,NQ,571.4,571.4,571.4,1248.0,1248.0,1248
Bulls,450-600,Processor,B,2,2,NQ,355.0,355.0,355,NQ,612.1,612.1,612.1,1604.6,1604.6,1604.5999755859375
Bulls,450-600,Processor,B,3,1,NC,353.6,353.6,353.6000061035156,43.6,631.4,631.4,631.4,1750.3,1750.3,1750.3199462890625
Bulls,450-600,Processor,C,2,1,-2,315.6,315.6,315.6000061035156,55.6,584.4,584.4,584.4,1436.0,1436.0,1435.97998046875
Bulls,600+,Processor,B,3,2,-1,290.0,312.0,301,7.0,508.8,547.4,528.1,2537.5,3432.0,2984.75
