Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 11/11/2024
Comparison Date: 04/11/2024
Total Yarding: 1958 (+684)
Commentary
"It was a larger sale with 1958 today at Muchea. The sale comprised of several excellent runs of European and British bred weaners, healthy stocks of grown and yearling cattle and again large lines of pastoral steers, cows and bulls. A full buying field were in attendance and were keen on weaners lifting steers up 20c and heifers up 10c while Yearlings generally eased around 10c/kg. Store and medium cows were also slightly softer and Live exporters were strong on bulls over a wide weight range.
Weaner steers showing leaner fat cover were selling from 220c to 292c and with better cover from 300c to 366c and plainer weaner heifers from 170c to 210c and in better condition up to 298c/kg. Apart from the odd plain body yearling steers were mostly in feedlot or slaughter condition and sold consistently from 280c to 340c while yearling heifers started from 180c up to 288c depending on quality.
    Grown steers remained firm selling from 200c up to 288c while grown heifers lifted 10c making 216c to 272c/kg. store cows eased 10c selling from 50c to 138c while medium cows were slightly softer returning 140c to 200c and heavy cows peaked at 220c/kg.
Shipping bulls ranged from 160c to 264c and slaughter bulls were a little softer selling from 170c to 212c/kg
Terry Birkin NLIS."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Pastoral Cattle,D,2,23,-12,140.0,152.0,145.47826086956522,-10.1,291.7,316.7,303.1,571.2,708.3,633.6052139945652
Cows,400-520,Pastoral Cattle,D,3,8,NQ,164.0,170.0,167.75,NQ,340.0,341.7,340.6,695.4,734.4,719.760009765625
Cows,400-520,Processor,D,2,3,-4,148.0,148.0,148,7.4,308.3,308.3,308.3,599.4,657.1,618.6400146484375
Cows,400-520,Processor,D,3,44,-2,142.0,212.0,186.04545454545453,-16.6,295.8,424.0,373.5,595.0,1010.9,898.0318187366832
Cows,520+,Feeder,D,2,1,-3,130.0,130.0,130,-35.0,270.8,270.8,270.8,683.8,683.8,683.7999877929688
Cows,520+,Processor,D,2,3,NQ,120.0,172.0,147.33333333333334,NQ,250.0,358.3,306.9,628.8,968.4,805.3866577148438
Cows,520+,Processor,D,3,94,59,172.0,220.0,202.63829787234042,-8.1,344.0,440.0,405.3,918.7,1646.4,1232.3382931973072
Cows,520+,Processor,D,4,2,-2,150.0,170.0,160,40.0,312.5,354.2,333.3,909.0,1278.4,1093.7000122070312
Cows,520+,Restocker,D,1,1,NQ,50.0,50.0,50,NQ,108.7,108.7,108.7,298.0,298.0,298
Bulls,0-450,Live Export,C,3,69,28,230.0,264.0,246.92753623188406,11.6,418.2,480.0,449.0,770.5,952.8,858.9704359856205
Bulls,0-450,Live Export,D,2,1,-89,160.0,160.0,160,-50.6,307.7,307.7,307.7,611.2,611.2,611.2000122070312
