Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Bulls,0-450,Processor,E,2,1,NQ,186.0,186.0,186,NQ,364.7,364.7,364.7,539.4,539.4,539.4000244140625
Bulls,0-450,Restocker,C,2,78,62,240.0,298.0,267.20512820512823,32.7,461.5,573.1,513.9,512.5,1087.7,765.0551257011218
Bulls,0-450,Restocker,D,2,46,-186,206.0,258.0,241.47826086956522,4.4,396.2,496.2,464.4,298.7,735.3,587.369557256284
Bulls,450-600,Feeder,C,2,8,4,246.0,278.0,270,44.5,464.2,524.5,509.4,1291.5,1320.5,1313.25
Bulls,450-600,Feeder,D,2,12,-2,239.0,248.0,242.66666666666666,36.1,452.8,471.2,463.7,1165.6,1296.0,1217.0333455403645
Bulls,450-600,Feeder,D,3,15,12,248.0,258.0,253.46666666666667,22.8,467.9,486.8,478.2,1240.0,1315.8,1289.373388671875
Bulls,450-600,Processor,C,2,2,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,1219.0,1219.0,1219
Bulls,450-600,Processor,C,3,2,NQ,245.0,310.0,277.5,NQ,453.7,574.1,513.9,1445.5,1689.5,1567.5
Bulls,450-600,Processor,D,2,3,2,232.0,240.0,237.33333333333334,69.3,446.2,461.5,456.4,1212.0,1310.8,1244.933349609375
Bulls,450-600,Processor,D,3,7,-4,232.0,268.0,243.14285714285714,33.5,437.7,505.7,457.5,1286.4,1426.8,1330.171421595982
Bulls,600+,Feeder,C,3,6,-3,260.0,260.0,260,28.7,481.5,481.5,481.5,1742.0,1742.0,1742
Bulls,600+,Feeder,D,2,1,NQ,264.0,264.0,264,NQ,498.1,498.1,498.1,1676.4,1676.4,1676.4000244140625
Bulls,600+,Feeder,D,3,10,9,254.0,268.0,258.8,58.8,474.1,496.3,486.5,1574.8,1862.6,1616.7400024414062
Bulls,600+,Processor,C,3,4,-1,240.0,250.0,247.5,-12.5,444.4,463.0,458.3,1500.0,1525.0,1518.75
Bulls,600+,Processor,C,4,1,NQ,246.0,246.0,246,NQ,447.3,447.3,447.3,1820.4,1820.4,1820.4000244140625
Bulls,600+,Processor,D,2,1,NQ,222.0,222.0,222,NQ,418.9,418.9,418.9,1376.4,1376.4,1376.4000244140625
Bulls,600+,Processor,D,3,4,3,236.0,242.0,239.5,-28.5,437.0,452.8,447.7,1620.0,1840.8,1681.6000061035156
