Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 29/01/2025
Comparison Date: 
Total Yarding: 3299 (NQ)
Commentary
"CQLX vendors offered 3299 head this week at Gracemere - 741 less than last sale. Quality was variable throughout the sale with several drafts of plain conditioned cross bred grown steers for feeders along with smaller runs of restocker and feeder steers and heifers present. Competition came from a smaller feeder gallery, the usual processors panel of buyers and an ever-changing restockers buying group. Price variations were mostly in line with quality.

Vealer steers sold to 425c/kg, whilst vealer heifers topped at 317c/kg to average 250c to 284c/kg.

Light weight pens of Yearling steers saw the best-bred lines sell to 447c/kg with averages from 385c to 412c/kg. Medium weight lines made to 425c/kg, averaging 380c to 407c/kg. Light weight pens of yearling heifers, selling to 331c/kg, averaged 253c to 296c/kg, whilst the medium weights reached a 337c/kg top to average 263c to 315c/kg.

Grown steers in plain condition, with Brahman content averaged from 308c to 341c/kg with better cross bred feeders selling to 415c/kg to average 374c to 386c/kg. A few bullocks offered sold to average 338c/kg. Grown heifers to trade buyers sold to average 272c to 296c/kg, topping at 312c/kg.

Several lines of store conditioned cows went back to restockers, making to 251c/kg, while prime, score four cows made to 295c/kg to return a 275c/kg average.  Again, heavy bulls sold to processors at a reduced average of 244c/kg. Good average cows and calves sold from $1,200 to $1,500 per unit."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Restocker,E,2,2,NQ,235.0,235.0,235,NQ,510.9,510.9,510.9,1022.3,1022.3,1022.25
Cows,520+,Processor,C,4,2,NC,295.0,295.0,295,7.0,546.3,546.3,546.3,1563.5,1563.5,1563.5
Cows,520+,Processor,D,3,4,NQ,261.0,261.0,261,NQ,543.8,543.8,543.8,1370.3,1370.3,1370.25
Cows,520+,Processor,D,4,68,4,252.0,281.0,273.88235294117646,-19.2,494.1,560.0,537.6,1420.4,1729.8,1555.1904440487133
Cows,520+,Restocker,D,3,1,NQ,235.0,235.0,235,NQ,489.6,489.6,489.6,1292.5,1292.5,1292.5
Calves,80+,Restocker,C,2,7,NQ,350.0,350.0,350,NQ,673.1,673.1,673.1,472.5,472.5,472.5
Calves,80+,Restocker,D,2,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,330.0,330.0,330
Bulls,0-450,Feeder,D,2,18,12,340.0,340.0,340,114.8,653.8,653.8,653.8,1224.0,1224.0,1224
Bulls,0-450,Processor,D,2,27,24,220.0,289.0,246.74074074074073,-39.6,423.1,555.8,474.5,506.0,1117.9,813.4500054253472
Bulls,0-450,Restocker,C,2,14,6,225.0,387.0,303.92857142857144,10.9,432.7,744.2,584.5,585.0,1257.8,892.2607160295759
Bulls,0-450,Restocker,D,2,5,-27,269.0,390.0,354.2,27.6,517.3,750.0,681.2,630.8,860.8,801.4199951171875
Bulls,450-600,Live Export,C,2,1,NQ,255.0,255.0,255,NQ,481.1,481.1,481.1,1313.3,1313.3,1313.25
Bulls,450-600,Restocker,D,2,2,NQ,200.0,205.0,202.5,NQ,363.6,394.2,378.9,990.0,1127.5,1058.75
Bulls,600+,Live Export,C,3,5,NQ,243.0,263.0,255.8,NQ,441.8,478.2,465.1,1593.8,1696.3,1644.089990234375
Bulls,600+,Processor,C,3,15,-2,231.0,251.0,243.93333333333334,-24.3,420.0,456.4,443.5,1514.5,2587.5,2127.6733235677084
Bulls,600+,Restocker,C,3,2,NQ,235.0,239.0,237,NQ,427.3,434.5,430.9,1852.3,2068.0,1960.125
