Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Bulls,0-450,Feeder,D,2,160,150,164.0,268.0,246.65,45.5,315.4,515.4,474.3,357.0,1079.0,735.3000030517578
Bulls,0-450,Feeder,D,3,3,NC,218.0,218.0,218,-12.0,411.3,411.3,411.3,893.8,893.8,893.7999674479166
Bulls,0-450,Feeder,E,2,17,16,100.0,190.0,154.7058823529412,4.7,196.1,365.4,298.0,250.0,446.5,363.20588235294116
Bulls,0-450,Processor,C,2,6,NQ,256.0,262.0,259.6666666666667,NQ,492.3,503.8,499.4,614.4,702.0,675.2000020345052
Bulls,0-450,Processor,D,2,4,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,576.0,576.0,576
Bulls,0-450,Restocker,C,2,7,NQ,262.0,262.0,262,NQ,503.8,503.8,503.8,676.0,707.4,680.4514683314732
Bulls,0-450,Restocker,D,2,13,9,220.0,278.0,262.46153846153845,88.0,423.1,534.6,504.7,319.0,597.7,560.40771484375
Bulls,0-450,Restocker,E,2,2,NQ,194.0,194.0,194,NQ,380.4,380.4,380.4,407.4,407.4,407.3999938964844
Bulls,450-600,Feeder,C,2,2,1,180.0,180.0,180,-26.0,339.6,339.6,339.6,1008.0,1008.0,1008
Bulls,450-600,Feeder,C,3,21,NQ,250.0,272.0,266.57142857142856,NQ,463.0,509.4,494.5,1323.0,1500.8,1416.8333391462054
Bulls,450-600,Feeder,D,2,11,10,228.0,250.0,242,22.0,430.2,480.8,457.4,1175.0,1225.0,1214.4181906960227
Bulls,450-600,Feeder,D,3,9,NQ,234.0,260.0,244,NQ,441.5,490.6,459.4,1175.0,1380.6,1293.4888509114583
Bulls,450-600,Processor,D,3,2,-9,214.0,230.0,222,-6.4,403.8,425.9,414.8,1112.8,1242.0,1177.4000244140625
Bulls,600+,Feeder,C,3,8,NQ,240.0,258.0,248.25,NQ,444.4,469.1,457.6,1464.0,1780.2,1640.9249877929688
Bulls,600+,Feeder,D,3,7,NQ,180.0,250.0,240,NQ,346.2,463.0,446.3,1134.0,1525.0,1469.142857142857
Bulls,600+,Processor,C,3,33,32,218.0,256.0,238.36363636363637,-57.6,403.7,465.5,435.2,1482.4,1996.8,1739.0788167317708
Bulls,600+,Processor,D,3,4,NQ,244.0,244.0,244,NQ,451.9,451.9,451.9,1573.8,1573.8,1573.800048828125
Bulls,600+,Restocker,C,3,4,3,246.0,248.0,247,-43.0,455.6,459.3,457.4,1795.8,1884.8,1840.300048828125
