Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Bulls,0-450,Feeder,E,1,33,NQ,60.0,80.0,66.96969696969697,NQ,117.6,156.9,131.3,114.0,164.0,142.83333333333334
Bulls,0-450,Feeder,E,2,37,-46,80.0,190.0,152.45945945945945,-25.3,156.9,365.4,295.8,184.0,617.5,472.8905392208615
Bulls,0-450,Live Export,C,2,8,7,270.0,282.0,273,5.0,509.4,542.3,518.9,945.0,1029.3,1008.2625122070312
Bulls,0-450,Live Export,D,2,74,-164,250.0,300.0,293.4864864864865,17.7,480.8,576.9,564.4,800.0,1198.5,942.1283495103991
Bulls,0-450,Live Export,D,3,3,NQ,282.0,282.0,282,NQ,532.1,532.1,532.1,1099.8,1099.8,1099.800048828125
Bulls,0-450,Processor,C,2,1,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,405.0,405.0,405
Bulls,0-450,Processor,C,3,3,NQ,220.0,220.0,220,NQ,415.1,415.1,415.1,594.0,594.0,594
Bulls,0-450,Processor,D,2,51,NC,180.0,252.0,224.0392156862745,33.7,346.2,484.6,430.8,432.0,816.5,697.3392118566177
Bulls,0-450,Processor,E,2,1,-19,210.0,210.0,210,56.0,403.8,403.8,403.8,934.5,934.5,934.5
Bulls,0-450,Restocker,D,1,3,NQ,244.0,244.0,244,NQ,469.2,469.2,469.2,292.8,292.8,292.79998779296875
Bulls,0-450,Restocker,D,2,27,17,186.0,240.0,199.77777777777777,-32.6,357.7,461.5,384.2,441.0,576.0,457.63333695023147
Bulls,450-600,Feeder,D,1,1,NQ,140.0,140.0,140,NQ,274.5,274.5,274.5,644.0,644.0,644
Bulls,450-600,Feeder,D,2,11,-28,248.0,268.0,252.72727272727272,12.8,476.9,505.7,484.2,1183.0,1554.4,1310.018221768466
Bulls,450-600,Live Export,C,3,10,8,280.0,280.0,280,-14.0,518.5,518.5,518.5,1484.0,1484.0,1484
Bulls,450-600,Live Export,D,2,27,22,240.0,282.0,274.2962962962963,8.3,461.5,534.6,522.6,1128.0,1635.6,1465.3184678819443
Bulls,450-600,Live Export,D,3,14,2,202.0,284.0,249.85714285714286,-38.1,374.1,535.8,468.9,1151.4,1590.4,1363.4428013392858
Bulls,450-600,Processor,C,2,3,2,232.0,232.0,232,-10.0,437.7,437.7,437.7,1368.8,1368.8,1368.8001302083333
Bulls,450-600,Processor,C,3,1,NC,298.0,298.0,298,2.0,551.9,551.9,551.9,1668.8,1668.8,1668.800048828125
Bulls,450-600,Processor,D,2,1,-39,210.0,210.0,210,13.9,403.8,403.8,403.8,987.0,987.0,987
Bulls,450-600,Processor,D,3,6,-27,208.0,282.0,240.66666666666666,-6.3,392.5,532.1,454.1,1123.2,1452.3,1264.8999837239583
Bulls,450-600,Processor,E,2,6,-7,210.0,210.0,210,71.1,403.8,403.8,403.8,966.0,966.0,966
Bulls,600+,Live Export,C,3,9,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,1988.0,1988.0,1988
Bulls,600+,Live Export,C,4,1,NQ,304.0,304.0,304,NQ,533.3,533.3,533.3,2736.0,2736.0,2736
Bulls,600+,Processor,C,3,5,-1,250.0,270.0,262,-30.7,454.5,490.9,479.9,1664.0,2175.0,1845.8
Bulls,600+,Processor,D,3,4,-1,290.0,290.0,290,-6.0,537.0,537.0,537.0,1856.0,1856.0,1856
