Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 05/03/2025
Comparison Date: 26/02/2025
Total Yarding: 3137 (+84)
Commentary
"There was only a small increase in numbers of 84 head to 3137 head at CQLX Gracemere sale. Cattle were drawn from all local districts. North and south coastal vendors and a large draft from North Queensland. Quality, as usual was mixed, although there were several lines of well-bred, well-presented cattle. Although some buyers were not operating due to the prevailing weather conditions to the south, most of the usual panel was present and operating, albeit on reduced limits. The few classes that saw increases were quality related, with the sale easier than last week.

The few vealer steers sold to 377c/kg to average 307c to 362c/kg. Vealer heifers recorded averages from 250c to 291c/kg.

Light weight yearling steers sold to 415c/kg with large samples of well-bred lines averaging 355c/kg and plain lines 305c/kg. Medium weight lines averaged 335c to 366c/kg for the best bred pens. Light weight yearling heifers sold to 302c/kg, averaging 264c to 286c/kg for the best. Medium weight pens averaged 255c to 295c/kg.

The few bullocks and grown steers to processors made to 343c/kg, averaging 304c to 337c/kg. Large samples to feed and restockers averaged 325c to 365c/kg. Grown heifers to the trade saw the tops make 304c/kg and averages from 280c to 297c/kg. Those to feed averaged 265c to 299c/kg.

A few restocker cows averaged 236c to 243c/kg in what was generally a better conditioned offering of cows than previous weeks. Best conditioned, heavy, four score cows eased to average 270c/kg to processors. Heavy bulls to processors averaged 244c/kg and to Livex 254c/kg, again a considerable easing on last sale.  Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Bulls,0-450,Processor,D,2,28,-5,250.0,301.0,281.60714285714283,21.0,480.8,578.8,541.6,541.8,794.8,674.2410801478794
Bulls,0-450,Restocker,C,2,7,3,287.0,301.0,295,-15.0,551.9,578.8,567.3,692.3,717.5,703.0999930245536
Bulls,0-450,Restocker,D,2,9,7,247.0,283.0,268.3333333333333,38.8,475.0,544.2,516.0,580.2,1126.7,847.4666612413195
Bulls,0-450,Restocker,E,2,3,NQ,203.0,203.0,203,NQ,390.4,390.4,390.4,791.7,791.7,791.7000325520834
Bulls,450-600,Live Export,C,2,10,9,287.0,287.0,287,-14.0,551.9,551.9,551.9,1391.9,1391.9,1391.95
Bulls,450-600,Restocker,C,2,1,-2,241.0,241.0,241,-78.0,454.7,454.7,454.7,1270.1,1270.1,1270.0699462890625
Bulls,450-600,Restocker,C,3,2,NQ,239.0,239.0,239,NQ,434.5,434.5,434.5,1362.3,1362.3,1362.300048828125
Bulls,450-600,Restocker,D,2,2,NQ,215.0,215.0,215,NQ,405.7,405.7,405.7,1096.5,1096.5,1096.5
Bulls,600+,Live Export,C,3,17,NQ,235.0,269.0,253.94117647058823,NQ,427.3,489.1,461.7,1518.6,1938.0,1716.0588450712316
Bulls,600+,Processor,C,3,16,12,227.0,259.0,243.8125,-33.4,412.7,470.9,443.3,1919.7,2310.8,2089.5531463623047
Bulls,600+,Processor,D,3,1,NQ,225.0,225.0,225,NQ,409.1,409.1,409.1,1597.5,1597.5,1597.5
Bulls,600+,Restocker,C,3,7,5,237.0,280.0,244,-39.0,430.9,509.1,443.6,1730.1,2448.0,2120.414324079241
